Name,Year
Hao Su,2016
Matthias NieBner,2016
Angela Dai,2016
Mengyuan Yan,2016
Leonidas J. Guibas,2016
Li Chen,2016
Yang Yang,2016
Jiang Wang,2016
Wei Xu,2016
Alan L. Yuille,2016
Marcin Marszalek,2009
Ivan Laptev,2009
Cordelia Schmid,2009
Junji Yamato,1992
Jun Ohya,1992
Keizo Ishii,1992
Joe Yue-Hei Ng,2015
Matthew Hausknecht,2015
Sudheendra Vijayanarasimhan,2015
Oriol Vinyals,2015
Rajat Monga,2015
George Toderici,2015
Yann LeCun,2004
Fu Qiang Huang,2004
Léon Bottou,2004
Qizhe Xie,2020
Minh-Thang Luong,2020
Eduard Hovy,2020
Quoc V. Le,2020
Harold Burger,2012
Christian J. Schuler,2012
Stefan Harmeling,2012
Pablo Arbeláez,2014
Jordi Pont-Tuset,2014
Jon Barron,2014
Ferran Marques,2014
Jitendra Malik,2014
Roozbeh Mottaghi,2014
Xianjie Chen,2014
Xiaobai Liu,2014
Nam Hoon Cho,2014
Seong-Whan Lee,2014
Sanja Fidler,2014
Raquel Urtasun,2014
Alan L. Yuille,2014
Lampert,2009
Nickisch,2009
Harmeling,2009
Jiang Wang,2012
Zicheng Liu,2012
Ying Wu,2012
Junsong Yuan,2012
Ankur Gupta,2016
Andrea Vedaldi,2016
Andrew Zisserman,2016
Christoph H. Lampert,2009
Hannes Nickisch,2009
Stefan Harmeling,2009
Oren Boiman,2008
Eli Shechtman,2008
Michal Irani,2008
Gui-Song Xia,2018
Xiang Bai,2018
Jian Ding,2018
Zhen Zhu,2018
Serge Belongie,2018
Jiebo Luo,2018
Mihai Datcu,2018
Marcello Pelillo,2018
Liangpei Zhang,2018
Jifeng Dai,2016
Kaiming He,2016
Jian Sun,2016
Tao Xu,2018
Pengchuan Zhang,2018
Qiuyuan Huang,2018
Han Zhang,2018
Zhe Gan,2018
Xiaolei Huang,2018
Xiaodong He,2018
Anat Levin,2009
Yair Weiss,2009
Frédo Durand,2009
William R. Freeman,2009
Roberto Cipolla,2018
Yarin Gal,2018
Vijay Badrinarayanan,2018
Antoni B. Chan,2008
Zekeng Liang,2008
Nuno Vasconcelos,2008
Junho Yim,2017
Donggyu Joo,2017
Ji-Hoon Bae,2017
Junmo Kim,2017
E. Shechtman,2007
Michal Irani,2007
Huaizu Jiang,2013
Jingdong Wang,2013
Zejian Yuan,2013
Yang Chang Wu,2013
Nanning Zheng,2013
Shipeng Li,2013
Y-Lan Boureau,2010
Francis Bach,2010
Yann LeCun,2010
Jean Ponce,2010
Jieshan Qiu,2018
Jiayuan Gu,2018
Zheng Gang Zhang,2018
Jifeng Dai,2018
Yichen Wei,2018
Heiko Hirschmüller,2007
Daniel Scharstein,2007
Jamie Shotton,2008
Matthew Johnson,2008
Roberto Cipolla,2008
Hemanth Venkateswara,2017
Jose Eusebio,2017
Shayok Chakraborty,2017
Sethuraman Panchanathan,2017
Orest Kupyn,2018
Volodymyr Budzan,2018
Mykola Mykhailych,2018
Dmytro Mishkin,2018
Jiri Matas,2018
Jianlong Fu,2017
Heliang Zheng,2017
Tao Mei,2017
Daniel DeTone,2018
Tomasz Malisiewicz,2018
Andrew Rabinovich,2018
Muhammad Haris,2018
Greg Shakhnarovich,2018
Norimichi Ukita,2018
Yang Yang,2011
Deva Ramanan,2011
Hang Zhang,2018
Kristin J. Dana,2018
Jianping Shi,2018
Zhongyue Zhang,2018
Xiaogang Wang,2018
Ambrish Tyagi,2018
Amit Agrawal,2018
Sean M. Bell,2016
C. Lawrence Zitnick,2016
Kavita Bala,2016
Ross Girshick,2016
Kaiming He,2017
Georgia Gkioxari,2017
Piotr Dollár,2017
Ross Girshick,2017
Rui Zhao,2013
Wanli Ouyang,2013
Xiaogang Wang,2013
Marc'Aurelio Ranzato,2007
Fu Qiang Huang,2007
Y-Lan Boureau,2007
Yann LeCun,2007
Tie Liu,2007
Jian Sun,2007
Nanning Zheng,2007
Xiaoou Tang,2007
Heung-Yeung Shum,2007
Iro Armeni,2016
Ozan Sener,2016
Amir Roshan Zamir,2016
Helen Jiang,2016
Ioannis Brilakis,2016
Martin R. Fischer,2016
Silvio Savarese,2016
Ying Zhang,2018
Tao Xiang,2018
Timothy M. Hospedales,2018
Huchuan Lu,2018
Michael E. Leventon,2000
W.E.L. Grimson,2000
Olivier Faugeras,2000
Jonathan Tompson,2015
Ross Goroshin,2015
Arjun Jain,2015
Yann LeCun,2015
Christoph Bregler,2015
Zdenek Kalal,2010
Jiri Matas,2010
Krystian Mikolajczyk,2010
Matthew Brand,1997
Nuria Oliver,1997
Alex Pentland,1997
Subhransu Maji,2008
Aaron A. Berg,2008
Jitendra Malik,2008
Quoc V. Le,2011
Will Y. Zou,2011
Serena Yeung,2011
Andrew Y. Ng,2011
Tong Xiao,2016
Hongsheng Li,2016
Wanli Ouyang,2016
Xiaogang Wang,2016
H. Schneiderman,2000
Takeo Kanade,2000
Xiangyu Zhu,2016
Zhen Lei,2016
Xiaoming Liu,2016
Hailin Shi,2016
Stan Z. Li,2016
Dana Berman,2016
Tali Treibitz,2016
Shai Avidan,2016
De Cheng,2016
Yihong Gong,2016
Sanping Zhou,2016
Jin-Jun Wang,2016
Nanning Zheng,2016
David Bau,2017
Bolei Zhou,2017
Aditya Khosla,2017
Aude Oliva,2017
Antonio Torralba,2017
Fisher Yu,2018
Dequan Wang,2018
Evan Shelhamer,2018
Trevor Darrell,2018
Tao Dai,2019
Jianrui Cai,2019
Yongdong Zhang,2019
Shu-Tao Xia,2019
Lei Zhang,2019
Dilip Krishnan,2011
Terence Tay,2011
