Name,Year,Gender
Liang-Gee Chen,2001,F
Aapo Hyvärinen,1999,M
Martin Feldhofer,2007,M
Johannes Wolkerstorfer,2007,M
Himanshu Thapliyal,2007,M
A. P. Vinod,2007,M
L. Sumanen,2002,F
M. Waltari,2002,M
V. Hakkarainen,2002,M
Kari Halonen,2002,F
Anuj Batra,2004,F
Jaiganesh Balakrishnan,2004,M
Anand G. Dabak,2004,M
Tao Zhang,2001,M
Zheng Wang,2001,M
Keshab K. Parhi,2001,M
J.L. Ganley,1994,M
J. McGrath Cohoon,1994,M
Kenji Doya,1992,F
Marius Tico,2001,M
Eero Immonen,2001,M
P. Ramo,2001,M
Pauli Kuosmanen,2001,M
Jukka Saarinen,2001,F
Jiamin Bai,2010,M
Tian-Tsong Ng,2010,M
Xinting Gao,2010,M
Yun Q. Shi,2010,F
P. Luethi,2007,F
Andreas Burg,2007,M
S. Haene,2007,M
D. Perels,2007,M
Norbert Felber,2007,M
Wolfgang Fichtner,2007,M
Nikolaos Papandreou,2011,M
Haralampos Pozidis,2011,M
Angeliki Pantazi,2011,F
Abu Sebastian,2011,M
Matthew J. Breitwisch,2011,M
Christopher W.K. Lam,2011,M
Evangelos Eleftheriou,2011,M
Jonathan Baxter,2000,M
Peter L. Bartlett,2000,M
R. Mahesh,2008,M
A. P. Vinod,2008,M
Suk Won Kim,2003,M
Dong-Woo Ha,2003,M
Jeffrey H. Reed,2003,M
Timothy K. Horiuchi,2004,M
T. Swindell,2004,M
David Sander,2004,M
Patricia Abshier,2004,F
Tian-Tsong Ng,2004,M
Shih-Fu Chang,2004,M
Qibin Sun,2004,F
A. Poschmann,2007,F
G.A. Leander,2007,F
Kai Schramm,2007,M
Christof Paar,2007,M
Ashkan Hosseinzadeh Namin,2009,M
Karl Leboeuf,2009,M
Roberto Muscedere,2009,M
Huapeng Wu,2009,M
Majid Ahmadi,2009,M
Christoph Posch,2008,M
Daniel Matolin,2008,M
Rainer Wohlgenannt,2008,M
Rolf Schaumann,1989,M
M.A. Tan,1989,F
Jussi Vesma,1997,F
Tapio Saramaki,1997,M
C. Howland,2001,M
A. Blanksby,2001,F
Richard Hartley,1991,M
Jerry Hughes,1990,M
I.C. Macbeth,1990,F
D.M. Pattullo,1990,M
