Name,Year,Gender
Pengyu Hong,2000,M
Qi Tian,2000,M
Thomas S. Huang,2000,M
Yanfu Zhang,2017,M
Li Ding,2017,M
Gaurav Sharma,2017,F
Jaime Portilla,2001,F
Vasily Strela,2001,F
Martin J. Wainwright,2001,M
Eero P. Simoncelli,2001,F
Ahmet Emir Dirik,2009,M
Nasir Memon,2009,M
R. Eslami,2004,M
Hayder Radha,2004,M
Shu Liao,2006,F
Wei Fan,2006,M
Albert C. S. Chung,2006,M
Dit-Yan Yeung,2006,M
Yannick Morvan,2007,M
Dirk Farin,2007,M
Y. Lu,2006,F
Minh N. Do,2006,M
Vinay A. Vaishampayan,1999,F
S. John,1999,M
Peng Yuan Chang,2002,M
MeiLan K. Han,2002,M
Yihong Gong,2002,M
Joao Ascenso,2006,M
Catarina Brites,2006,F
Fernando Lobo Pereira,2006,F
Henrique Oliveira,2014,F
Paulo Lobato Correia,2014,F
Rui Hu,2010,M
Mark Barnard,2010,M
John Collomosse,2010,M
Phong Minh Vu,2011,M
Cuong Manh Vu,2011,M
Damon M. Chandler,2011,M
Wujun Ma,1995,F
B.S. Manjunath,1995,M
Benjamin Bischke,2019,M
Patrick Helber,2019,M
Joachim Folz,2019,M
Damian Borth,2019,M
Andreas Dengel,2019,M
Vincent Garcia,2010,M
Eric Debreuve,2010,M
Frank Nielsen,2010,M
Michel Barlaud,2010,M
Kedar Anil Patwardhan,2005,M
Guillermo Sapiro,2005,M
Marcelo Bertalmío,2005,M
Je-Ho Nam,1998,M
Masoud Alghoniemy,1998,M
A.H. Tewfik,1998,M
Peter Blomgren,1997,M
Tak Hang Chan,1997,M
Pep Mulet,1997,M
Ching-Ping Wong,1997,M
Thibault Carron,1994,M
Peter Lambert,1994,M
Jorge E. Caviedes,2002,M
S. Gurbuz,2002,M
Sorina Dumitrescu,2002,F
Xiaolin Wu,2002,F
None Zeeshan Anjum Memon,2002,F
Qian Huang,1995,M
Byron Dom,1995,M
Tong Li,2014,F
Junping Zhang,2014,M
Ye Zhang,2014,F
Zhenhua Guo,2010,M
Lei Zhang,2010,F
Xuanqin Mou,2010,F
Mitchell D. Swanson,1997,M
Bin Zhu,1997,M
A.H. Tewfik,1997,M
Bihan Wen,2016,M
Ye Zhu,2016,F
Ramanathan Subramanian,2016,M
Tian-Tsong Ng,2016,M
Xuanjing Shen,2016,F
Stefan Winkler,2016,M
Cosmin Ancuti,2019,F
Mateu Sbert,2019,M
Radu Timofte,2019,M
Rohit Puri,2003,M
Kannan Ramchandran,2003,M
Adrian Hilton,1996,M
A.J. Stoddart,1996,M
John Illingworth,1996,M
Terry Windeatt,1996,M
Eero P. Simoncelli,1994,F
Vasileios Mezaris,2003,M
Ioannis Kompatsiaris,2003,M
M.G. Strintzis,2003,M
Sae Hwang,2007,M
Junghwan Oh,2007,M
Wallapak Tavanapong,2007,M
John Wong,2007,M
Piet C. de Groen,2007,M
Hiroshi Inoue,1998,M
Akira Miyazaki,1998,F
Akira Yamamoto,1998,F
Takashi Katsura,1998,F
Ritendra Datta,2008,F
Jia Li,2008,F
Jing Wang,2008,M
Le Kang,2015,M
Peng Ye,2015,M
Yi Li,2015,F
David Doermann,2015,M
Yinlong Qian,2016,M
Jing-fei Dong,2016,F
Wei Wang,2016,M
Tieniu Tan,2016,F
Wei Jiang,2008,M
Eric Zavesky,2008,M
Shih-Fu Chang,2008,M
Alexander C. Loui,2008,M
Paul Salama,1995,F
Ness B. Shroff,1995,M
Edward F. Coyle,1995,M
Edward J. Delp,1995,M
Jeff Orchard,2008,M
Mehran Ebrahimi,2008,M
Alexander Wong,2008,M
I. Jane Cox,1997,M
Jean-Paul M. G. Linnartz,1997,M
Wei Tan,2016,M
Chee Seng Chan,2016,M
Hernán Aguirre,2016,M
Kiyoshi Tanaka,2016,M
Ivo Creusen,2010,M
Rob G. J. Wijnhoven,2010,M
Ernst Herbschleb,2010,M
Wei Zhang,2005,M
Sen-ching S. Cheung,2005,M
Minghua Chen,2005,M
David J. Fleet,1997,M
David J. Heeger,1997,M
Shan Du,2005,M
R. L. Ward,2005,M
Yang Wang,2017,M
Jing Zhang,2017,F
Yang Cao,2017,M
Zengfu Wang,2017,M
Dejan V. Vranic,2003,M
Aravind Sundaresan,2003,M
Amit Roychowdhury,2003,M
Rama Chellappa,2003,F
Nicholas F. Maxemchuk,1997,M
Steven H. Low,1997,M
Nick Kingsbury,2003,M
Sergio Carrato,1996,M
Giampietro Ramponi,1996,M
Stefano Marsi,1996,F
Mylène C. Q. Farias,2005,M
S. Mitra,2005,F
Homan Igehy,1997,M
L. Pereira,1997,F
Anil K. Jain,1999,M
Nicolae Duta,1999,M
Sergio D. Servetto,1998,M
Christine I. Podilchuk,1998,F
Kannan Ramchandran,1998,M
Jianping Zhou,2005,F
Alexandra Olimpio Siqueira Cunha,2005,F
Minh N. Do,2005,M
Frank Boland,1995,M
J.J.K. O'Ruanaidh,1995,M
C. Dautzenberg,1995,M
Haiqiang Wang,2016,M
Weihao Gan,2016,M
Sudeng Hu,2016,M
Jia-Horng Lin,2016,F
Lina Jin,2016,F
Longguang Song,2016,M
Ping Wang,2016,M
Ioannis Katsavounidis,2016,M
Anne Aaron,2016,F
C.-C. Jay Kuo,2016,M
Ke Shen,1995,M
Edward J. Delp,1995,M
Deepa Kundur,1998,M
Dimitrios Hatzinakos,1998,M
Chulwoo Lee,2012,M
Chul Hee Lee,2012,F
Chang-Su Kim,2012,F
N. Le Bihan,2003,M
Stephen J. Sangwine,2003,F
Xun Yuan,2006,M
Wei Lai,2006,F
Tao Mei,2006,F
Xian-Sheng Hua,2006,M
Xiuqing Wu,2006,F
Shipeng Li,2006,F
Greg Slabaugh,2005,M
Guillaume Unal,2005,M
B. X. Yu,1997,M
Anil K. Jain,1997,M
Sujoy Sinha Roy,2007,F
Qibin Sun,2007,F
Mathieu Carnec,2003,M
P. Le Callet,2003,M
D. Barba,2003,F
Hans Knutsson,1994,M
Carl-Fredrik Westin,1994,M
Gösta H. Granlund,1994,M
Aleksandra Mojsilovic,2001,M
Bernice E. Rogowitz,2001,F
Tomas Filler,2008,M
Jessica Fridrich,2008,F
Miroslav Goljan,2008,M
Adnan M. Alattar,2003,M
Catarina Brites,2007,F
Fernando Lobo Pereira,2007,F
Frank Hartung,1997,M
Bernd Girod,1997,M
Xiaoou Tang,2002,F
Xiaogang Wang,2002,M
Hansang Lee,2016,M
Min-Seok Park,2016,M
Junmo Kim,2016,M
David Taubman,2000,M
Erik Ordentlich,2000,M
M. Weinberger,2000,M
Gadiel Seroussi,2000,M
Ichiro Ueno,2000,M
Fumihisa Ono,2000,M
Matthew C. Stamm,2008,M
K.J.R. Liu,2008,M
Maneli Noorkami,2005,F
Russell M. Mersereau,2005,M
Stefan Livens,1997,M
Paul Scheunders,1997,M
G. van de Wouwer,1997,M
D. Van Dyck,1997,M
Michael Bleyer,2004,M
Margrit Gelautz,2004,F
Ara V. Nefian,2000,M
Monson H. Hayes,2000,M
Yang Yang,2008,M
Shawn Newsam,2008,M
E. Atsumi,1998,F
Nariman Farvardin,1998,M
Alexandros Eleftheriadis,1995,M
Dimitris Anastassiou,1995,F
J. Apostolopoulos,2001,M
S. Wee,2001,M
Mário A. T. Figueiredo,2006,M
J. B. Dias,2006,M
J. Vladimir Oliveira,2006,F
Robert Nowak,2006,M
Renjie Wan,2016,M
Boxin Shi,2016,F
Tan Kim Hwee,2016,M
Alex C. Kot,2016,M
Guobin Chen,2014,M
Tony X. Han,2014,M
Zhihai He,2014,M
Roland Kays,2014,M
Tavis Forrester,2014,M
Cosmin Ancuti,2010,F
Cosmin Ancuti,2010,F
Philippe Bekaert,2010,M
Waleed M. Gondal,2017,M
Jan Kohler,2017,M
Rene Grzeszick,2017,M
Gernot A. Fink,2017,M
Michael Hirsch,2017,M
Daisuke Kiku,2013,M
Yusuke Monno,2013,M
Masayuki Tanaka,2013,M
Masatoshi Okutomi,2013,F
Nour-Eddine Lasmar,2009,F
Youssef Stitou,2009,M
Yannick Berthoumieu,2009,M
Ingemar J. Cox,1995,M
