Name,Year
Sanjeev Khudanpur,2018
Ahilan Kanagasundaram,2011
Robbie Vogt,2011
David S. Dean,2011
Sridha Sridharan,2011
Michael Mason,2011
Antoine Raux,2005
Brian Langner,2005
Dan Bohus,2005
Alan W. Black,2005
Maxine Eskenazi,2005
Jean-Philippe Goldman,2011
Yanxin Hu,2020
Yun Liu,2020
Shubo Lv,2020
Mengtao Xing,2020
Shimin Zhang,2020
Yihui Fu,2020
Jian Wu,2020
Bihong Zhang,2020
Lei Xie,2020
Zhizheng Wu,2015
Tomi Kinnunen,2015
Nicholas Evans,2015
Junichi Yamagishi,2015
Cemal Hanilci,2015
Md. Sahidullah,2015
Aleksandr Sizov,2015
Sylvain Galliano,2009
Guillaume Gravier,2009
Laura Chaubard,2009
Abdelrahman Mohamed,2010
Dong Yu,2010
Li Deng,2010
Chunlei Zhang,2017
Kazuhito Koishida,2017
Yingke Zhu,2018
Tom Ko,2018
David S. Snyder,2018
Brian Mak,2018
Daniel Povey,2018
John F. Pitrelli,1994
Mary E. Beckman,1994
Julia Hirschberg,1994
David González,2011
Oldrich Plchot,2011
Lukas Burget,2011
Ondrej Glembek,2011
Pavel Matejka,2011
Shahin Amiriparian,2017
Maurice Gerczuk,2017
Sandra Ottl,2017
Nicholas Cummins,2017
Michael Freitag,2017
Sergey Pugachevskiy,2017
Alice Baird,2017
Björn Schuller,2017
O W Kwon,2003
Kwokleung Chan,2003
Jianhua Hao,2003
Li Deng,2000
Alex Acero,2000
Mike Plumpe,2000
Xuedong Huang,2000
Daniel Gildea,1999
Thomas Hofmann,1999
Themos Stafylakis,2017
Georgios Tzimiropoulos,2017
Dan Bohus,2003
Alexander I. Rudnicky,2003
Thomas Drugman,2011
Abeer Alwan,2011
Michael Neumann,2017
Ngoc Thang Vu,2017
Yun-Nung Chen,2016
Dilek Hakkani-Tur,2016
Gokhan Tur,2016
Jianfeng Gao,2016
Li Deng,2016
Santiago Pascual,2019
Mirco Ravanelli,2019
Joan Serrà,2019
Antonio Bonafonte,2019
Yoshua Bengio,2019
Lori F. Larnel,1991
Jean-Luc Gauvain,1991
Maxine Eskenazi,1991
Yusuke Shinohara,2016
Golan Pundak,2016
Tara N. Sainath,2016
Ron Weiss,2017
Jan Chorowski,2017
Navdeep Jaitly,2017
Yonghui Wu,2017
Zhifeng Chen,2017
Reinhard Kneser,1993
Hermann Ney,1993
Issam Bazzi,2002
James Glass,2002
Dimitri Palaz,2015
Mathew Magimai.-Doss,2015
Ronan Collobert,2015
Yu-An Chung,2016
Chao-Chung Wu,2016
Chia-Hao Shen,2016
Hung-yi Lee,2016
Lin-Shan Lee,2016
Md. Sahidullah,2015
Tomi Kinnunen,2015
Cemal Hanilci,2015
Ottokar Tilk,2016
Tanel Alumäe,2016
Hee Jin Kim,2008
Mark Hasegawa-Johnson,2008
Adrienne L. Perlman,2008
Jon Gunderson,2008
Thomas S. Huang,2008
Kenneth L. Watkin,2008
Simone R. Frame,2008
