Name,Year
Tadanobu Inoue,2017
Giovanni De Magistris,2017
Asim Munawar,2017
Tsuyoshi Yokoya,2017
Ryuki Tachibana,2017
Matteo Cianchetti,2013
Tommaso Ranzani,2013
Giada Gerboni,2013
Iris De Falco,2013
Cecilia Laschi,2013
Arianna Menciassi,2013
A. F. Brooks,2005
Tobias Kaupp,2005
Alexei Makarenko,2005
Steven Williams,2005
Anders Orebäck,2005
Takeo Kanade,1995
Hiroyuki Kano,1995
Shin-ichi Kimura,1995
A. Yoshida,1995
Katsuya Oda,1995
William McMahan,2005
Brent Manley Jones,2005
Isobel D. Walker,2005
Chris Brown,2007
H. Harry Asada,2007
H. Huettenrauch,2006
K.S. Eklundh,2006
Adèle C. Green,2006
Elin Anna Topp,2006
Friedrich Fraundorfer,2007
Chris Engels,2007
David Nister,2007
Glenn J. Wagner,2011
Howie Choset,2011
Elias Mueggler,2014
Basil Huber,2014
Davide Scaramuzza,2014
Paolo Baerlocher,1998
Ronan Boulic,1998
Gonzalo Ferrer,2013
Anais Garrell,2013
Alberto Sanfeliu,2013
Andreas Wege,2005
Günter Hommel,2005
Mario Prats,2012
Javier Martin Perez,2012
J. P. Fernandez,2012
Pedro J. Sanz,2012
Takashi Sugihara,2002
Yusuke Nakamura,2002
Ugo Pattacini,2010
Francesco Nori,2010
Lorenzo Natale,2010
Giorgio Metta,2010
Giulio Sandini,2010
Scaramuzza,2007
Harati,2007
Siegwart,2007
Gábor Vásárhelyi,2014
Csaba Virágh,2014
Gergő Somorjai,2014
Norbert Tarcai,2014
Tamás Szörényi,2014
Tamás Nepusz,2014
Tamás Vicsek,2014
Alexander Schneider,2009
Jürgen Sturm,2009
Cyrill Stachniss,2009
Marco Reisert,2009
Hans Burkhardt,2009
Wolfram Burgard,2009
Yu Ogura,2006
Kazushi Shimomura,2006
Hideki Kondo,2006
A. Morishima,2006
Tatsu Okubo,2006
Shimpei Momoki,2006
Hun-ok Lim,2006
Atsuo Takanishi,2006
Scott M. Ettinger,2002
M.C. Nechyba,2002
Peter Ifju,2002
Martin R. Waszak,2002
David Wilkie,2009
Jur van den Berg,2009
Dinesh Manocha,2009
C. Ray,2008
Francesco Mondada,2008
Roland Siegwart,2008
Rarc Gopura,2009
Kazuo Kiguchi,2009
Yan Li,2009
John R. Spletzer,2001
Amit Das,2001
Rafael Fierro,2001
C. Barr Taylor,2001
Vineet Kumar,2001
James Ostrowski,2001
Sangok Seok,2012
Albert Wang,2012
David J. Perreault,2012
Sangbae Kim,2012
Mehmet R. Dogar,2010
Siddhartha S. Srinivasa,2010
P. Caloud,1990
Wonyun Choi,1990
Jean-Claude Latombe,1990
C. Le Pape,1990
Mark Yim,1990
Rui Li,2014
Robert W. Platt,2014
Wenzhen Yuan,2014
Andreas ten Pas,2014
Nathan Roscup,2014
Mandayam A. Srinivasan,2014
Edward H. Adelson,2014
Xiang Gao,2018
Rong Wang,2018
Nikolaus Demmel,2018
Daniel Cremers,2018
Oussama Khatib,1996
Kazuhito Yokoi,1996
Kee-Joo Chang,1996
D. Ruspini,1996
R. Holmberg,1996
Arancha Casal,1996
Shuuji Kajita,2006
Mitsuharu Morisawa,2006
Kensuke Harada,2006
Kenji Kaneko,2006
Fumio Kanehiro,2006
Koji Fujiwara,2006
Hirohisa Hirukawa,2006
David R. Caruso,2015
Jakob Engel,2015
Daniel Cremers,2015
Christian Forster,2013
Simon Lynen,2013
Laurent Kneip,2013
Davide Scaramuzza,2013
Mike Stilman,2007
Javier Civera,2011
Dorian Galvez-Lopez,2011
Luis Riazuelo,2011
Juan D. Tardós,2011
J. M. M. Montiel,2011
Scott Niekum,2012
Sarah Osentoski,2012
George Konidaris,2012
Andrew G. Barto,2012
Aaron M. Hoover,2008
E. Steltz,2008
Ronald S. Fearing,2008
Mrinal Kalakrishnan,2011
Ludovic Righetti,2011
Peter Pastor,2011
Stefan Schaal,2011
Toru Takenaka,2009
Takashi Matsumoto,2009
Takahide Yoshiike,2009
Shinya Shirokura,2009
Andrew Howard,2001
Maja J. Matarić,2001
Gaurav S. Sukhatme,2001
Radu Bogdan Rusu,2009
Nico Blodow,2009
Zoltan-Csaba Marton,2009
Michael Beetz,2009
Niko Sünderhauf,2011
Peter Protzel,2011
Derek Abbott,2007
C. Becke,2007
Richard I. Rothstein,2007
William J. Peine,2007
Nikolai Smolyanskiy,2017
Alex Kamenev,2017
Jeffrey C. Smith,2017
Stan Birchfield,2017
Holger Diedam,2008
Dimitar Dimitrov,2008
Pierre-Brice Wieber,2008
Katja Mombaur,2008
Markus Diehl,2008
Homayoon Kazerooni,2005
Jun-Ho Oh,2006
David Hanson,2006
Won-Sup Kim,2006
Il Ki Han,2006
Jung-Yup Kim,2006
Ill-Woo Park,2006
Clint Heyer,2010
Dorsa Sadigh,2016
S. Shankar Sastry,2016
Sanjit A. Seshia,2016
Anca Dragan,2016
Niko Sünderhauf,2017
Trung Pham,2017
Yasir Latif,2017
Michael Milford,2017
Ian R. Reid,2017
Jacopo Serafin,2015
Giorgio Grisetti,2015
David S.K. Lu,2014
Dave Hershberger,2014
William D. Smart,2014
Michael Bonani,2010
Valentin Longchamp,2010
Stéphane Magnenat,2010
Philippe Rétornaz,2010
Daniel Burnier,2010
Gilles Roulet,2010
Florian Vaussard,2010
Hannes Bleuler,2010
Francesco Mondada,2010
Robert Vaughan,2003
Brian P. Gerkey,2003
Andrew Howard,2003
Jens-Steffen Gutmann,2002
Dieter Fox,2002
Dirk Hähnel,2002
Dirk Schulz,2002
Wolfram Burgard,2002
Kar-Han Tan,1996
M. Anthony Lewis,1996
James J. Kuffner,2001
Koichi Nishiwaki,2001
Satoshi Kagami,2001
Motoi Inaba,2001
Hiroshi Inoue,2001
Kenji Kaneko,2011
Fumio Kanehiro,2011
Mitsuharu Morisawa,2011
Kazuhiko Akachi,2011
G. Miyamori,2011
Atsushi Hayashi,2011
Noriyuki Kanehira,2011
Amir Jafari,2010
Nikos G. Tsagarakis,2010
Bram Vanderborght,2010
Darwin G. Caldwell,2010
John Romanishin,2013
Kyle Gilpin,2013
Daniela Rus,2013
Gerhard Weiss,1994
C. Wetzler,1994
Ewald von Puttkamer,1994
Hordur Johannsson,2010
Michael Kaess,2010
Brendan Englot,2010
Franz S. Hover,2010
John P. Leonard,2010
Kurt Konolige,2000
Jens Weingarten,2005
Roland Siegwart,2005
N. Fukaya,2000
Shigeki Toyama,2000
Tamim Asfour,2000
Rüdiger Dillmann,2000
Matthias Luber,2011
Luciano Spinello,2011
Kai O. Arras,2011
Rainer Stiefelhagen,2004
Christian Fügen,2004
R. Gieselmann,2004
Hartwig Holzapfel,2004
Kai Nickel,2004
Alex Waibel,2004
Guillermo Heredia,2014
A. E. Jimenez-Cano,2014
I. Sánchez,2014
Domingo Llorente,2014
Victor Vega,2014
J. Braga,2014
José Manuel Guerrero Acosta,2014
Anibal Ollero,2014
M. Berhault,2003
H. Huang,2003
Pinar Keskinocak,2003
S. Koenig,2003
Wedad Elmaghraby,2003
Paul M. Griffin,2003
Anton J. Kleywegt,2003
A. Diosi,2005
Lindsay Kleeman,2005
Gabriel L. Oliveira,2016
Wolfram Burgard,2016
Thomas Brox,2016
Cristiano Premebida,2014
Joao Carreira,2014
Jorge Batista,2014
Urbano Nunes,2014
Eijiro Takeuchi,2006
Takashi Tsubouchi,2006
Johannes Englsberger,2011
Christian Ott,2011
Maximo A. Roa,2011
Alin Albu-Schaffer,2011
Gerhard Hirzinger,2011
E. Steltz,2009
Annan Michael Mozeika,2009
Nicholas Rodenberg,2009
Eric D. Brown,2009
Heinrich M. Jaeger,2009
Odest Chadwicke Jenkins,2002
Maja J. Matarić,2002
Frédéric Bourgault,2003
Takeshi Furukawa,2003
Hugh Durrant-Whyte,2003
Matthias Luber,2012
Luciano Spinello,2012
Jens Silva,2012
Kai O. Arras,2012
Keisuke Arikawa,1996
Shigeki Hirose,1996
Thomas Lochmatter,2008
Pierre Roduit,2008
Christopher M. Cianci,2008
Nikolaus Correll,2008
Jacques Jacot,2008
Adriano Martinoli,2008
Ioannis Rekleitis,2002
