Name,Year,Gender
Niko Sünderhauf,2012,M
Peter Protzel,2012,M
Yang Chen,2005,M
Zhongmin Wang,2005,M
Mikey Siegel,2009,M
Cynthia Breazeal,2009,F
Michael I. Norton,2009,M
Albert S. Huang,2010,M
Edwin Olson,2010,M
David Moore,2010,M
Federico Augugliaro,2012,M
Angela P. Schoellig,2012,F
Raffaello D'Andrea,2012,M
Namiki A,2003,F
Yasuharu Imai,2003,M
M. Ishikawa,2003,F
Makoto Kaneko,2003,F
Daniela Rus,1995,M
Bruce R. Donald,1995,M
James Jennings,1995,M
Jens-Steffen Gutmann,1998,M
Wolfram Burgard,1998,M
D. B. Fox,1998,M
Kurt Konolige,1998,M
Vladimir Kulyukin,2004,M
Chaitanya Gharpure,2004,M
J. Nicholson,2004,M
S. Pavithran,2004,M
Jared Di Carlo,2018,M
Patrick M. Wensing,2018,M
Benjamin Katz,2018,M
Gerardo Bledt,2018,M
Sangbae Kim,2018,M
Hongfang Liu,2008,M
K. Chauncey Wu,2008,M
Peter Meusel,2008,M
N. Seitz,2008,M
Gerd Hirzinger,2008,M
Muqing Jin,2008,M
Y. W. Liu,2008,M
Shaowei Fan,2008,M
Tianfei Lan,2008,F
Zhenyu Chen,2008,M
J.P. van den Berg,2005,M
Mark H. Overmars,2005,M
Cory D. Kidd,2008,M
Cynthia Breazeal,2008,F
Marcus Gualtieri,2016,M
Andreas ten Pas,2016,M
Kate Saenko,2016,M
Robert W. Platt,2016,M
Michael Montemerlo,2003,M
Nicholas Roy,2003,M
Sebastian Thrun,2003,M
M.W. Jorgensen,2004,M
Esben Hallundbæk Østergaard,2004,M
Henrik Lund,2004,M
Dave Ferguson,2006,M
Anthony Stentz,2006,M
Adam Zoss,2005,M
Homayoon Kazerooni,2005,M
A Chu,2005,M
Klaus H. Strobl,2006,M
Gerd Hirzinger,2006,M
Paul M. Birkmeyer,2009,M
Kevin Charles Peterson,2009,M
Ronald S. Fearing,2009,M
Selim Benhimane,2004,F
Ezio Malis,2004,M
P. Sears,2006,M
Pierre E. Dupont,2006,M
Cory D. Kidd,2004,M
Cynthia Breazeal,2004,F
Russ Tedrake,2004,M
T.W. Zhang,2004,M
H.S. Seung,2004,M
Aaron D'Souza,2001,M
Srinivasan Vijayakumar,2001,M
Stefan Schaal,2001,M
Peter Pastor,2011,M
Ludovic Righetti,2011,M
Mrinal Kalakrishnan,2011,M
Stefan Schaal,2011,M
Toshiharu Mukai,2010,M
Shinya Hirano,2010,M
Hiromichi Nakashima,2010,F
Yo Kato,2010,M
Yuki Sakaida,2010,F
Shijie Guo,2010,M
Shigeyuki Hosoe,2010,M
Robert J. Webster,2006,M
Allison M. Okamura,2006,F
Nicolas B. Cowan,2006,M
Akhil J. Madhani,1998,M
Gunter Niemeyer,1998,M
Jonathan R. Salisbury,1998,M
Yutaka Kanayama,1991,F
Yuki Kimura,1991,F
Fumio Miyazaki,1991,M
Takaaki Noguchi,1991,M
Andrew Howard,2002,M
M.J. Matark,2002,M
Gaurav S. Sukhatme,2002,M
Giseop Kim,2018,M
Ayoung Kim,2018,M
Kai M. Wurm,2008,M
Cyrill Stachniss,2008,M
Wolfram Burgard,2008,M
Jacob Varley,2017,M
Chad DeChant,2017,M
Adam Richardson,2017,M
Joaquín Ruales,2017,M
Peter J. Allen,2017,M
Jingwei Zhang,2017,M
Jost Tobias Springenberg,2017,M
Joschka Boedecker,2017,M
Wolfram Burgard,2017,M
Kaijen Hsiao,2010,M
Sachin Chitta,2010,F
Matei Ciocarlie,2010,F
E Y Jones,2010,F
C.D. Wright,2007,M
Andrew Johnson,2007,M
A. Peck,2007,F
Z. McCord,2007,M
A. Naaktgeboren,2007,F
P. Gianfortoni,2007,M
M.N. Gonzalez-Rivero,2007,M
Ross L. Hatton,2007,M
Howie Choset,2007,M
Kazumasa Yamazawa,1993,M
Yasushi Yagi,1993,M
Masahiko Yachida,1993,F
Dhiraj Gandhi,2017,M
Lerrel Pinto,2017,M
Abhinav Gupta,2017,M
