Name,Year,Gender
David Brown,1998,M
Y.C. Shiu,1989,M
Salahuddin Ahmad,1989,M
R. Zimmerman,2004,M
X. Y. Gao,1996,M
X. Y. Gao,1996,M
Seppo J. Ovaska,1996,M
Raffaele Carli,2013,M
Mariagrazia Dotoli,2013,F
Roberta Pellegrino,2013,M
Luigi Ranieri,2013,M
Yongqiang Wu,2012,M
Maolin Tang,2012,F
W. Barrie Fraser,2012,M
Ai Qun Liu,2005,M
C. Martin,2005,M
T. Hetherington,2005,F
S. Matzner,2005,M
Dongxiang Zhou,2005,M
Hong Zhang,2005,M
Jamilson Dantas,2012,M
Rubens Matos,2012,M
Jean Araujo,2012,M
Paulo Maciel,2012,M
Motoko Suzuki,2000,F
Taichi Kato,2000,M
Nobuyuki Otsu,2000,M
Kyungnam Kim,1999,F
R.S. Ramakrishna,1999,M
T. Tojo,2000,M
Yosuke Matsusaka,2000,M
T. Ishii,2000,M
T. Kobayashi,2000,M
D. Nishikawa,1999,F
Wenwei Yu,1999,F
Hiroshi Yokoi,1999,F
Yukinori Kakazu,1999,F
Keishu Yasuda,2003,F
A. Ide,2003,F
Norimasa Iwasaki,2003,M
Rafal Mantiuk,2004,M
Karol Myszkowski,2004,F
Hans-Peter Seidel,2004,M
David J. Fleet,1994,M
J.E. Cabral,2004,M
E.M. Gontijo,2004,M
Li Zeng,2006,F
Li Da Xu,2006,F
Zhongzhi Shi,2006,F
Maoguang Wang,2006,M
Wenjuan Wu,2006,M
Marie Chan,1995,F
C. Hariton,1995,M
P. Ringeard,1995,M
Eric Campo,1995,M
Hakan Elçi,1994,M
Richard W. Longman,1994,M
Minh Q. Phan,1994,M
Jer-Nan Juang,1994,M
R. Ugoletti,1994,F
Mouloud Denai,2004,F
F. Palis,2004,M
Abdelhafid Zeghbib,2004,M
Guo Jun,2016,M
K. G. Smitha,2016,M
Kenya Shimada,2006,F
Kotaro Hirasawa,2006,M
Jinglu Hu,2006,F
Martin Karresand,2006,M
Nahid Shahmehri,2006,M
W. Nelson,1991,M
Eyal Kishon,1991,M
J. A. Tenreiro Machado,1998,M
Abílio Azenha,1998,M
Subramanya Nageshrao,2019,M
H. Eric Tseng,2019,M
Dimitar Petrov Filev,2019,M
S. Endoh,1998,M
Naruaki Toma,1998,F
Kohta Yamada,1998,F
Ahmed A. A. Esmin,2002,F
Alexandre Rasi Aoki,2002,M
Germano Lambert-Torres,2002,M
Sea Ling,2000,F
Hans Rudolf Schmidt,2000,M
A Tharumarajah,1998,M
A. Wells,1998,F
L. Nemes,1998,M
Yan Pei,2012,M
Shaoqiu Zheng,2012,M
Ying Tan,2012,M
Hideyuki Takagi,2012,M
Laurance D. Hall,1998,M
Nikhilesh Chawla,1998,F
Kevin W. Bowyer,1998,M
Emanuela Gadelha Cartaxo,2007,F
Francisco Gomes de Oliveira Neto,2007,M
Patrícia D. L. Machado,2007,M
Peter Baranyi,1996,M
Tom Gedeon,1996,M
László T. Kóczy,1996,M
S. H. Lee,2002,M
Yoshiyuki Sankai,2002,M
Duc Truong Pham,1993,M
S. H. Oh,1993,M
Joost C. F. de Winter,2011,M
Dimitra Dodou,2011,M
Timothy Masters,1997,M
Walker H. Land,1997,M
Masato Noto,2000,M
Haruo Sato,2000,M
P.C. Leger,2005,M
Ashitey Trebi-Ollennu,2005,F
John Wright,2005,M
Shawn Maxwell,2005,M
R.G. Bonitz,2005,M
Jeffrey J. Biesiadecki,2005,M
Frank A. Hartman,2005,M
B. D. Cooper,2005,M
Eric T. Baumgartner,2005,M
Mark Maimone,2005,F
X. F. Wang,2004,M
X. Y. Gao,2004,M
Seppo J. Ovaska,2004,M
Murat Dikmen,2017,M
Catherine M. Burns,2017,F
Y. Takei,2005,M
Yoshimi Furukawa,2005,F
Asmaa Mountassir,2012,F
Houda Benbrahim,2012,M
Ilham Berrada,2012,F
Bastian Hartmann,2010,M
Norbert Link,2010,M
Phillip L. Walker,2012,M
Steven Nunnally,2012,M
Michael Lewis,2012,M
Andreas Kolling,2012,M
Nilanjan Chakraborty,2012,M
Katia Sycara,2012,F
Eyhab Al-Masri,2009,M
Qusay H. Mahmoud,2009,M
M.E. Meda,1998,F
A. Ramirez,1998,M
A. Malo,1998,F
Yi Lin,2004,F
Sifeng Liu,2004,M
Daniel A. DeLaurentis,2005,F
John Whipple,2009,M
William Arensman,2009,M
Marian Starr Boler,2009,F
Dipti Srinivasan,1995,M
M.A. Lee,1995,F
Aryuanto Soetedjo,2005,M
Koichi Yamada,2005,M
Firat Tekiner,2013,M
John A. Keane,2013,M
Misao Sasaki,1998,F
Kazuyuki Kita,1998,F
J. Funda,1990,F
Richard P. Paul,1990,M
John Hunt,1995,M
Denise E. Cooke,1995,F
Pedro Faria,2010,F
Zita Vale,2010,F
Judite Ferreira,2010,F
Tae Yong Kim,2009,M
Chris Manzie,2009,M
Rahul Sharma,2009,F
Bertrand Tondu,1994,M
Vincent Boitier,1994,M
P. Lopez,1994,M
Paul J. Werbos,1996,M
Xiaozhong Pang,1996,M
Hiroyuki Yoshida,1999,F
Yukio Fukuyama,1999,M
Sadatsugu Takayama,1999,M
Yoichiro Nakanishi,1999,M
Pavel Krömer,2011,M
Jan Platos,2011,M
Vaclav Snasel,2011,M
Ajith Abraham,2011,M
Kakin K. Tsoi,2010,M
Mark Mulder,2010,M
David A. Abbink,2010,M
Andrew Duchon,1994,M
William L. Warren,1994,M
John Meurig Thomas,2017,M
Tomasz Maszczyk,2017,M
Nishant Sinha,2017,M
Tilmann Kluge,2017,M
Justin Dauwels,2017,M
Tony Y. T. Chan,2002,M
Laleh Makarem,2012,F
Denis Gillet,2012,M
Wang JiCheng,1999,M
Huang Yuan,1999,M
WU Gangshan,1999,M
Zhang Fu-yan,1999,M
Cesar Bandera,1989,F
Peter D. Scott,1989,M
Takafumi Sato,1997,M
Masayuki Hagiwara,1997,M
Mohan M. Trivedi,2000,M
Huang Kohsia,2000,M
I. Mikic,2000,M
R.R. Pai,2003,M
Venkata R. Kallepalli,2003,M
Reggie J. Caudill,2003,M
MengChu Zhou,2003,M
W.J. Adams,2005,M
Nathaniel J. Davis,2005,M
Jaeeun Shim,2013,M
Ronald C. Arkin,2013,M
Hiroyasu Koshimizu,1999,M
M. Tominaga,1999,F
T. Fujiwara,1999,F
Koichi Murakami,1999,M
Parham Aarabi,2001,M
D. Hughes,2001,M
K. Mohajer,2001,M
M. Emami,2001,F
Iman Kamkar,2010,M
Mohammad-R. Akbarzadeh-T,2010,M
Mahdi Yaghoobi,2010,F
Alexander Hogenboom,2011,M
Paul van Iterson,2011,M
Bas Heerschop,2011,M
Flavius Frasincar,2011,M
Uzay Kaymak,2011,M
Horst-Michael Gross,2012,M
Ch. Schroeter,2012,M
Steffen Mueller,2012,M
Michael Volkhardt,2012,M
Erik Einhorn,2012,M
Andreas Bley,2012,M
T. Langner,2012,M
Matthias Merten,2012,M
Claire Huijnen,2012,F
H. van den Heuvel,2012,M
A. van Berlo,2012,F
Ryan E. Schoonmaker,2006,M
Caroline G. L. Cao,2006,F
K. Ishino,2003,M
Masafumi Hagiwara,2003,F
Yan Li,2006,M
Zheru Chi,2006,M
David Dagan Feng,2006,M
K.L. Su,2006,M
Christophe Wakim,2004,M
S. Capperon,2004,M
J. Oksman,2004,M
Sheng-Fuu Lin,2006,F
Yung-Yao Chen,2006,F
Sungchieh Liu,2006,F
Dongrui Wu,2014,M
Brent J. Lance,2014,M
Vernon J. Lawhern,2014,M
Manish Saggar,2004,M
Alok Agrawal,2004,M
Abhimanyu Lad,2004,M
James A. Momoh,1989,M
Janis A. Bubenko,1993,M
Benkt Wangler,1993,M
Mohamed I. Attia,2017,M
Abbas Khosravi,2017,M
Saeid Nahavandi,2017,F
Hamed Asadi,2017,M
Junhai Zhai,2018,M
