Name,Year
Michel Barlaud,2010
Kedar Anil Patwardhan,2005
Guillermo Sapiro,2005
Marcelo Bertalmío,2005
Je-Ho Nam,1998
Masoud Alghoniemy,1998
A.H. Tewfik,1998
Peter Blomgren,1997
Tak Hang Chan,1997
Pep Mulet,1997
Ching-Ping Wong,1997
Thibault Carron,1994
Peter Lambert,1994
Jorge E. Caviedes,2002
S. Gurbuz,2002
Sorina Dumitrescu,2002
Xiaolin Wu,2002
None Zeeshan Anjum Memon,2002
Qian Huang,1995
Byron Dom,1995
Tong Li,2014
Junping Zhang,2014
Ye Zhang,2014
Zhenhua Guo,2010
Lei Zhang,2010
Xuanqin Mou,2010
Mitchell D. Swanson,1997
Bin Zhu,1997
A.H. Tewfik,1997
Bihan Wen,2016
Ye Zhu,2016
Ramanathan Subramanian,2016
Tian-Tsong Ng,2016
Xuanjing Shen,2016
Stefan Winkler,2016
Cosmin Ancuti,2019
Mateu Sbert,2019
Radu Timofte,2019
Rohit Puri,2003
Kannan Ramchandran,2003
Adrian Hilton,1996
A.J. Stoddart,1996
John Illingworth,1996
Terry Windeatt,1996
Eero P. Simoncelli,1994
Vasileios Mezaris,2003
Ioannis Kompatsiaris,2003
M.G. Strintzis,2003
Sae Hwang,2007
Junghwan Oh,2007
Wallapak Tavanapong,2007
John Wong,2007
Piet C. de Groen,2007
Hiroshi Inoue,1998
Akira Miyazaki,1998
Akira Yamamoto,1998
Takashi Katsura,1998
Ritendra Datta,2008
Jia Li,2008
Jing Wang,2008
Le Kang,2015
Peng Ye,2015
Yi Li,2015
David Doermann,2015
Yinlong Qian,2016
Jing-fei Dong,2016
Wei Wang,2016
Tieniu Tan,2016
Wei Jiang,2008
Eric Zavesky,2008
Shih-Fu Chang,2008
Alexander C. Loui,2008
Paul Salama,1995
Ness B. Shroff,1995
Edward F. Coyle,1995
Edward J. Delp,1995
Jeff Orchard,2008
Mehran Ebrahimi,2008
Alexander Wong,2008
I. Jane Cox,1997
Jean-Paul M. G. Linnartz,1997
Wei Tan,2016
Chee Seng Chan,2016
Hernán Aguirre,2016
Kiyoshi Tanaka,2016
Ivo Creusen,2010
Rob G. J. Wijnhoven,2010
Ernst Herbschleb,2010
Wei Zhang,2005
Sen-ching S. Cheung,2005
Minghua Chen,2005
David J. Fleet,1997
David J. Heeger,1997
Shan Du,2005
R. L. Ward,2005
Yang Wang,2017
Jing Zhang,2017
Yang Cao,2017
Zengfu Wang,2017
Dejan V. Vranic,2003
Aravind Sundaresan,2003
Amit Roychowdhury,2003
Rama Chellappa,2003
Nicholas F. Maxemchuk,1997
Steven H. Low,1997
Nick Kingsbury,2003
Sergio Carrato,1996
Giampietro Ramponi,1996
Stefano Marsi,1996
Mylène C. Q. Farias,2005
S. Mitra,2005
Homan Igehy,1997
L. Pereira,1997
Anil K. Jain,1999
Nicolae Duta,1999
Sergio D. Servetto,1998
Christine I. Podilchuk,1998
Kannan Ramchandran,1998
Jianping Zhou,2005
Alexandra Olimpio Siqueira Cunha,2005
Minh N. Do,2005
Frank Boland,1995
J.J.K. O'Ruanaidh,1995
C. Dautzenberg,1995
Haiqiang Wang,2016
Weihao Gan,2016
Sudeng Hu,2016
Jia-Horng Lin,2016
Lina Jin,2016
Longguang Song,2016
Ping Wang,2016
Ioannis Katsavounidis,2016
Anne Aaron,2016
C.-C. Jay Kuo,2016
Ke Shen,1995
Edward J. Delp,1995
Deepa Kundur,1998
Dimitrios Hatzinakos,1998
Chulwoo Lee,2012
Chul Hee Lee,2012
Chang-Su Kim,2012
N. Le Bihan,2003
Stephen J. Sangwine,2003
Xun Yuan,2006
Wei Lai,2006
Tao Mei,2006
Xian-Sheng Hua,2006
Xiuqing Wu,2006
Shipeng Li,2006
Greg Slabaugh,2005
Guillaume Unal,2005
B. X. Yu,1997
Anil K. Jain,1997
Sujoy Sinha Roy,2007
Qibin Sun,2007
Mathieu Carnec,2003
P. Le Callet,2003
D. Barba,2003
Hans Knutsson,1994
Carl-Fredrik Westin,1994
Gösta H. Granlund,1994
Aleksandra Mojsilovic,2001
Bernice E. Rogowitz,2001
Tomas Filler,2008
Jessica Fridrich,2008
Miroslav Goljan,2008
Adnan M. Alattar,2003
Catarina Brites,2007
Fernando Lobo Pereira,2007
Frank Hartung,1997
Bernd Girod,1997
Xiaoou Tang,2002
Xiaogang Wang,2002
Hansang Lee,2016
Min-Seok Park,2016
Junmo Kim,2016
David Taubman,2000
Erik Ordentlich,2000
M. Weinberger,2000
Gadiel Seroussi,2000
Ichiro Ueno,2000
Fumihisa Ono,2000
Matthew C. Stamm,2008
K.J.R. Liu,2008
Maneli Noorkami,2005
Russell M. Mersereau,2005
Stefan Livens,1997
Paul Scheunders,1997
G. van de Wouwer,1997
D. Van Dyck,1997
Michael Bleyer,2004
Margrit Gelautz,2004
Ara V. Nefian,2000
Monson H. Hayes,2000
Yang Yang,2008
Shawn Newsam,2008
E. Atsumi,1998
Nariman Farvardin,1998
Alexandros Eleftheriadis,1995
Dimitris Anastassiou,1995
J. Apostolopoulos,2001
S. Wee,2001
Mário A. T. Figueiredo,2006
J. B. Dias,2006
J. Vladimir Oliveira,2006
Robert Nowak,2006
Renjie Wan,2016
Boxin Shi,2016
Tan Kim Hwee,2016
Alex C. Kot,2016
Guobin Chen,2014
Tony X. Han,2014
Zhihai He,2014
Roland Kays,2014
Tavis Forrester,2014
Cosmin Ancuti,2010
Cosmin Ancuti,2010
Philippe Bekaert,2010
Waleed M. Gondal,2017
Jan Kohler,2017
Rene Grzeszick,2017
Gernot A. Fink,2017
Michael Hirsch,2017
Daisuke Kiku,2013
Yusuke Monno,2013
Masayuki Tanaka,2013
Masatoshi Okutomi,2013
Nour-Eddine Lasmar,2009
Youssef Stitou,2009
Yannick Berthoumieu,2009
Ingemar J. Cox,1995
Scott Roy,1995
Sunita L. Hingorani,1995
Long Qing Chen,2017
Haizhou Ai,2017
Chong Shang,2017
Zijie Zhuang,2017
Bo Bai,2017
Aditya Abhyankar,2006
Stephanie Schuckers,2006
Taskeed Jabid,2010
Md. Hasanul Kabir,2010
Oksam Chae,2010
Detlev Marpe,2005
Thomas Wiegand,2005
S. Gordon,2005
Xian-Sheng Hua,2004
Xian Chen,2004
Hong-Jiang Zhang,2004
D. Meyer,1997
Joachim Denzler,1997
Heiner Niemann,1997
Hua Gao,2014
Anil Yuce,2014
Jean-Philippe Thiran,2014
Qingbo Wu,2015
Zhou Wang,2015
Hongliang Li,2015
Paul Rodriguez,2013
Brendt Wohlberg,2013
Wei Wang,2009
Jing-fei Dong,2009
Tieniu Tan,2009
Anil K. Jain,2009
Unsang Park,2009
S. Wee,2001
J. Apostolopoulos,2001
Eyung Lim,2002
Xudong Jiang,2002
Wei-Yun Yau,2002
David Minnen,2020
Saurabh Singh,2020
R. Wagner,2003
R. Nowak,2003
R. Baraniuk,2003
Huiqi Li,2001
Opas Chutatape,2001
Yulin Xie,2011
Huchuan Lu,2011
Soo-Chang Pei,2012
Tzu-Yen Lee,2012
Kede Ma,2015
Wentao Liu,2015
Zhou Wang,2015
Cosmin Ancuti,2016
Cosmin Ancuti,2016
Christophe De Vleeschouwer,2016
Alan C. Bovik,2016
Jon Sneyers,2016
Pieter Wuille,2016
Fu Jin,2003
Paul Fieguth,2003
Lowell L. Winger,2003
E. Jernigan,2003
E. Le Pennec,2000
Stéphane Mallat,2000
Fatih Porikli,2003
Khaled Mamou,2009
Faouzi Ghorbel,2009
Sabri Boughorbel,2005
Jean-Philippe Tarel,2005
Nozha Boujemaa,2005
Noel Brady,1997
Frank Bossen,1997
Noel Murphy,1997
Yan-Tsung Peng,2015
Xiangyun Zhao,2015
Pamela C. Cosman,2015
Yi Zhu,2017
Shawn Newsam,2017
Shih-Fu Chang,1995
R. Dugad,1999
Narendra Ahuja,1999
Ming Yang,2011
Kai Yu,2011
Shaohua Sun,2014
Shang-Pu Fan,2014
Yu-Chiang Frank Wang,2014
Maurizio Pilu,1996
Andrew Fitzgibbon,1996
Rebecca Fisher,1996
Wei-Ning Wang,2008
Qianhua He,2008
Gordon W. Braudaway,1997
Francois Bergeaud,1995
Stéphane Mallat,1995
Nuno Vasconcelos,1997
Andrew Lippman,1997
Zhou Wang,2002
Ligang Lu,2002
Alan C. Bovik,2002
Hyomin Choi,2018
Ivan V. Bajic,2018
Mennatullah Siam,2018
Mostafa Gamal,2018
Moemen Abdel-Razek,2018
Senthil Yogamani,2018
Martin Jagersand,2018
Christian Bräuer-Burchardt,2001
K. Voss,2001
E. Tabassi,2005
Christine D. Wilson,2005
J. G. Smith,1998
Radhe Mohan,1998
Chung-Sheng Li,1998
Kun'ichi Miyazawa,2005
Keita Ito,2005
Toru Aoki,2005
Kenzo Kobayashi,2005
Hideaki Nakajima,2005
Masoud Alghoniemy,2000
A.H. Tewfik,2000
Debin Meng,2019
Xiaojiang Peng,2019
Kai Wang,2019
Yu Qiao,2019
Timo Zinsser,2003
Jan Schmidt,2003
Heiner Niemann,2003
Flávio Ribeiro,2011
Dinei Florencio,2011
Vitor H. Nascimento,2011
Yufei Ma,2002
Hong-Jiang Zhang,2002
Jianchao Yang,2008
Michael B. Hall,2008
Yi Ma,2008
Thomas S. Huang,2008
Scott McCloskey,2019
Michael J. Albright,2019
Jong Min Kim,1999
Young Hoon Moon,1999
Darren J. Kerbyson,1995
T.J. Atherton,1995
Sharifa Alghowinem,2013
Roland Goecke,2013
Michael Wagner,2013
Gordon Parker,2013
Michael Breakspear,2013
Ravi Kothari,1996
J.L. Mitchell,1996
Matti Kutila,2007
Maria Jokela,2007
Gustav Markkula,2007
M.R. Rue,2007
L. Merritt,2007
Rahul Vanam,2007
Michael K Miller,2000
I. Jane Cox,2000
Jeffrey Adam Bloom,2000
A.E. Mohr,2000
Richard E. Ladner,2000
Eve A. Riskin,2000
Min Cai,2002
Jiqiang Song,2002
Michael R. Lyu,2002
Olivier Le Meur,2011
Josselin Gautier,2011
Christine Guillemot,2011
Anjali Sharma,2014
Shalini Verma,2014
Mayank Vatsa,2014
Richa Singh,2014
Catarina Brites,2006
Joao Ascenso,2006
Fernando Lobo Pereira,2006
Boon-Lock Yeo,1995
Bede Liu,1995
Ross T. Whitaker,2001
Xinwei Xue,2001
Patrick Virtue,2017
Stella X. Yu,2017
Michael Lustig,2017
Thitiporn Chanwimaluang,2003
Gaojie Fan,2003
Joan Verdera,2003
Vicent Caselles,2003
Marcelo Bertalmío,2003
Guillermo Sapiro,2003
Anthony Joch,2002
Faouzi Kossentini,2002
Heiko Schwarz,2002
Thomas Wiegand,2002
G. Sullivan,2002
A.L. da Cunha,2005
Jian Zhou,2005
Minh N. Do,2005
H.H.Y. Tong,1998
Anastasios N. Venetsanopoulos,1998
R. Krishnamurthy,2001
Bing-Bing Chai,2001
Hai Tao,2001
S. Sethuraman,2001
Jean-Chrysostome Bolot,1996
Thierry Turletti,1996
Keita Ito,2005
Akimichi Morita,2005
Toru Aoki,2005
T. Higuchi,2005
Hideaki Nakajima,2005
Kenzo Kobayashi,2005
S. Derin Babacan,2008
R. Alfaro Molina,2008
Aggelos K. Katsaggelos,2008
Xianbin Cao,2011
Changxia Wu,2011
Pingkun Yan,2011
Xuelong Li,2011
Claude Knaus,2013
Matthias Zwicker,2013
Marc Braham,2017
Sébastien Pierard,2017
Marc Van Droogenbroeck,2017
Agnieszka Miguel,1999
A.E. Mohr,1999
Eve A. Riskin,1999
G. Depovere,1998
Ton Kalker,1998
Johan P. M. G. Linnartz,1998
Davide Cozzolino,2014
Diego Gragnaniello,2014
Luisa Verdoliva,2014
E.M. Arvacheh,2006
Hamid R. Tizhoosh,2006
Hilmi E. Egilmez,2011
Burak Gorkemli,2011
A.M. Tekalp,2011
Seyhan Civanlar,2011
Qin Cai,1995
Amar Mitiche,1995
Jake K. Aggarwal,1995
T. Taki,1996
Jun Hasegawa,1996
Fukumura T,1996
Milind Naphade,1998
Ravi Mehrotra,1998
A.M. Ferman,1998
J. Warnick,1998
Thomas S. Huang,1998
A. Murat Tekalp,1998
Guorong Xuan,2001
Wei Zhang,2001
Peiqi Chai,2001
John G. Apostolopoulos,2000
Dzung L. Pham,2002
Tsuyoshi Kawaguchi,2000
D. Hidaka,2000
Mohamed Rizon,2000
Damianos Karakos,1995
Panos Trahanias,1995
Faiz U. Ahmad,2007
Yogesh Rathi,2007
Allen Tannenbaum,2007
Jake Snell,2017
Karl Ridgeway,2017
Renjie Liao,2017
Brett D. Roads,2017
Michael C. Mozer,2017
Richard S. Zemel,2017
Aria Ahmadi,2016
