Name,Year,Gender
Hiroshi Kobayashi,1991,M
Fumio Hara,1991,M
Alvin J. Surkan,1990,M
J. Clay Singleton,1990,M
Leonid Peshkin,2002,M
Virginia Savova,2002,F
Daniel A. Jimenez,1998,M
Hao Zheng,2015,M
Zhanlei Yang,2015,F
Wenju Liu,2015,F
Jizhong Liang,2015,M
Yanpeng Li,2015,M
David G. Stork,1992,M
Gregory J. Wolff,1992,M
Earl Levine,1992,M
Benjamin Schrauwen,2003,M
Joris Van Campenhout,2003,M
Ji-Lung Hsieh,2008,M
Chuen-Tsai Sun,2008,M
Claudio Gallicchio,2010,M
Alessio Micheli,2010,F
Kyung Hwa Cho,2013,M
Tapani Raiko,2013,M
Alexander Ilin,2013,M
Jungme Park,2011,F
Dai Li,2011,F
Yi Lu Murphey,2011,F
Johannes Geir Kristinsson,2011,M
Ryan Abraham McGee,2011,M
Ming Kuang,2011,M
Tony Phillips,2011,M
A.S. Weigend,1991,M
David E. Rumelhart,1991,M
B.A. Huberman,1991,M
Hially Rodrigues de Sa,2011,M
Ricardo B. C. Prudêncio,2011,M
Andreas K. Fidjeland,2010,M
Murray Shanahan,2010,M
Zahra Khalili,2009,F
Mohammad Hassan Moradi,2009,M
Di Yao,2017,F
Chao Zhang,2017,M
Zhihua Zhu,2017,M
Jianhui Huang,2017,F
Jingping Bi,2017,F
F. van den Bergh,2001,M
Andries P. Engelbrecht,2001,M
Derong Liu,2001,M
Xiaoxu Xiong,2001,F
Yi Zhang,2001,M
Roger Jones,1990,M
Yen-Jie Lee,1990,F
Cris W. Barnes,1990,M
Gary W. Flake,1990,M
K. S. Lee,1990,M
P.S. Lewis,1990,M
Sam Qian,1990,M
Seong G. Kong,1990,M
Bart Kosko,1990,M
Priyadarshini Panda,2016,F
Kaushik Roy,2016,M
Di Wu,2017,M
Nabin Sharma,2017,F
Michael Blumenstein,2017,M
Allah Bux Sargano,2017,M
X. F. Wang,2017,M
Plamen Angelov,2017,M
Zulfiqar Habib,2017,M
Draguna Vrabie,2009,F
Frank Lewis,2009,M
P.K. Simpson,1991,M
Dennis Hamester,2015,M
Pablo Barros,2015,M
Stefan Wermter,2015,M
Eckhorn,1989,M
Reitboeck,1989,M
Arndt,1989,M
Dicke,1989,M
William Cukierski,2011,M
Benjamin Hamner,2011,M
Bo Yang,2011,M
A. Fan,2000,F
Marimuthu Palaniswami,2000,M
Stefan Lessmann,2006,M
Robert Stahlbock,2006,M
Sven F. Crone,2006,M
Abe,1989,M
Johannes Schemmel,2006,M
Andreas Grübl,2006,M
Karlheinz Meier,2006,M
Eilif Mueller,2006,M
Seungjin Choi,2008,M
Dan Ciresan,2015,M
Ueli Meier,2015,M
Gail A. Carpenter,1991,M
Stephen Grossberg,1991,M
David B. Rosen,1991,M
Shijie Zhong,2002,M
Joydeep Ghosh,2002,M
Amro El-Jaroudi,1990,M
John Makhoul,1990,M
Gangyi Wang,2013,M
Guanghui Ren,2013,M
Zhilu Wu,2013,M
Yaqin Zhao,2013,M
Lihui Jiang,2013,F
Eberhardt,1989,M
Duong,1989,M
Thakoor,1989,M
J. Schmidhuber,1990,M
Bernd Fritzke,1991,M
Michael S. Smith,2011,M
Tony Martinez,2011,M
Yi Liu,2005,F
Y. H. Zheng,2005,M
S. V. N. Vishwanathan,2002,M
M. Narasimha Murty,2002,M
Irwin King,2009,M
Jiexing Li,2009,F
Kam C. Chan,2009,M
Jianlin Cheng,2008,M
Zheng Wang,2008,M
Gianluca Pollastri,2008,M
Robert Jenssen,2003,M
Kenneth E. Hild,2003,M
Deniz Erdogmus,2003,M
Jose C. Principe,2003,M
Torbjørn Eltoft,2003,M
