Name,Year,Gender
Joon Son Chung,2018,M
Andrew Zisserman,2018,M
Dong Yu,2011,M
Michael L. Seltzer,2011,M
Yu-An Chung,2019,M
Wei-Ning Hsu,2019,M
Michael B. Hall,2019,M
James Glass,2019,M
Ossama Abdel-Hamid,2013,M
Li Deng,2013,M
Dong Yu,2013,M
Se Rim Park,2017,M
Jin Yong Lee,2017,F
Stephanie Seneff,1998,F
Edward J. Hurley,1998,M
Raymond Y. K. Lau,1998,M
Christine Pao,1998,F
Philipp Schmid,1998,M
Victor W. Zue,1998,M
Navdeep Jaitly,2012,F
Patrick Nguyen,2012,M
Andrew W. Senior,2012,M
Vincent Vanhoucke,2012,M
Mitchell McLaren,2016,M
Luciana Ferrer,2016,F
Diego Castan,2016,M
Aaron Lawson,2016,M
Sylvain Galliano,2005,M
Edouard Geoffrois,2005,M
Djamel Mostefa,2005,M
Khalid Choukri,2005,M
Jean-François Bonastre,2005,M
Guillaume Gravier,2005,M
Chanwoo Kim,2017,M
Ananya Misra,2017,F
K. K. Chin,2017,M
Thad Hughes,2017,M
Arun Narayanan,2017,M
Tara N. Sainath,2017,F
Michiel Bacchiani,2017,F
Alex Acero,2000,M
Li Deng,2000,M
Trausti Kristjansson,2000,M
Jerry Zhang,2000,M
Christoph Tillmann,1997,M
Stephan Vogel,1997,M
Hermann Ney,1997,M
A. Zubiaga,1997,F
Hassan Sawaf,1997,M
Jin-Kyu Lee,2015,F
Ivan Tashev,2015,M
John H. L. Hansen,1998,M
Bryan L. Pellom,1998,M
Fabrice Plante,1995,M
Georg Meyer,1995,M
William A. Ainsworth,1995,M
Hagen Soltau,2017,M
Hank Liao,2017,M
Hasim Sak,2017,M
Marc Schröder,2001,M
Gabriel Murray,2005,M
Steve Renals,2005,M
Jean Carletta,2005,F
David Miller,2007,M
Michael Kleber,2007,M
Chia-Lin Kao,2007,F
Owen Kimball,2007,M
Thomas Colthurst,2007,M
Stephen T. Lowe,2007,M
Richard H. Schwartz,2007,M
Herbert Gish,2007,M
Yeshwant K. Muthusamy,1992,M
Ronald A. Cole,1992,M
Beatrice T. Oshika,1992,F
Lidia Mangu,1999,F
Eric D. Brill,1999,M
Andreas Stolcke,1999,M
Galina Lavrentyeva,2017,F
Sergey Novoselov,2017,M
Egor Malykh,2017,M
Alexander Kozlov,2017,M
Oleg Kudashev,2017,M
Vadim Shchemelinin,2017,F
George R. Doddington,2001,M
Gregory Sell,2018,M
David Snyder,2018,M
Alan V. McCree,2018,M
Daniel Garcia-Romero,2018,M
Jesús Villalba,2018,M
Matthew Maciejewski,2018,M
Vimal Manohar,2018,M
Najim Dehak,2018,M
Daniel Povey,2018,M
Shinji Watanabe,2018,M
Sanjeev Khudanpur,2018,M
Ahilan Kanagasundaram,2011,M
Robbie Vogt,2011,M
David S. Dean,2011,M
Sridha Sridharan,2011,M
Michael Mason,2011,M
Antoine Raux,2005,M
Brian Langner,2005,M
Dan Bohus,2005,M
Alan W. Black,2005,M
Maxine Eskenazi,2005,F
Jean-Philippe Goldman,2011,M
Yanxin Hu,2020,M
Yun Liu,2020,F
Shubo Lv,2020,M
Mengtao Xing,2020,M
Shimin Zhang,2020,M
Yihui Fu,2020,M
Jian Wu,2020,M
Bihong Zhang,2020,M
Lei Xie,2020,F
Zhizheng Wu,2015,M
Tomi Kinnunen,2015,F
Nicholas Evans,2015,M
Junichi Yamagishi,2015,M
Cemal Hanilci,2015,F
Md. Sahidullah,2015,M
Aleksandr Sizov,2015,M
Sylvain Galliano,2009,M
Guillaume Gravier,2009,M
Laura Chaubard,2009,F
Abdelrahman Mohamed,2010,M
Dong Yu,2010,M
Li Deng,2010,M
Chunlei Zhang,2017,F
Kazuhito Koishida,2017,M
Yingke Zhu,2018,F
Tom Ko,2018,M
David S. Snyder,2018,M
Brian Mak,2018,M
Daniel Povey,2018,M
John F. Pitrelli,1994,M
Mary E. Beckman,1994,F
Julia Hirschberg,1994,M
David González,2011,M
Oldrich Plchot,2011,M
Lukas Burget,2011,M
Ondrej Glembek,2011,M
Pavel Matejka,2011,F
Shahin Amiriparian,2017,F
Maurice Gerczuk,2017,M
Sandra Ottl,2017,F
Nicholas Cummins,2017,M
Michael Freitag,2017,M
Sergey Pugachevskiy,2017,M
Alice Baird,2017,M
Björn Schuller,2017,M
O W Kwon,2003,M
Kwokleung Chan,2003,M
Jianhua Hao,2003,M
Li Deng,2000,M
Alex Acero,2000,M
Mike Plumpe,2000,F
Xuedong Huang,2000,M
Daniel Gildea,1999,F
Thomas Hofmann,1999,M
Themos Stafylakis,2017,M
Georgios Tzimiropoulos,2017,M
Dan Bohus,2003,M
Alexander I. Rudnicky,2003,M
Thomas Drugman,2011,M
Abeer Alwan,2011,M
Michael Neumann,2017,M
Ngoc Thang Vu,2017,M
Yun-Nung Chen,2016,M
Dilek Hakkani-Tur,2016,M
Gokhan Tur,2016,M
Jianfeng Gao,2016,M
Li Deng,2016,M
Santiago Pascual,2019,M
Mirco Ravanelli,2019,F
Joan Serrà,2019,M
Antonio Bonafonte,2019,M
Yoshua Bengio,2019,M
Lori F. Larnel,1991,M
Jean-Luc Gauvain,1991,M
Maxine Eskenazi,1991,F
Yusuke Shinohara,2016,M
Golan Pundak,2016,M
Tara N. Sainath,2016,F
Ron Weiss,2017,M
Jan Chorowski,2017,M
Navdeep Jaitly,2017,F
Yonghui Wu,2017,M
Zhifeng Chen,2017,M
Reinhard Kneser,1993,M
Hermann Ney,1993,M
Issam Bazzi,2002,M
James Glass,2002,M
Dimitri Palaz,2015,M
Mathew Magimai.-Doss,2015,M
Ronan Collobert,2015,M
Yu-An Chung,2016,M
Chao-Chung Wu,2016,M
Chia-Hao Shen,2016,F
Hung-yi Lee,2016,F
Lin-Shan Lee,2016,M
Md. Sahidullah,2015,M
Tomi Kinnunen,2015,F
Cemal Hanilci,2015,F
Ottokar Tilk,2016,M
Tanel Alumäe,2016,M
Hee Jin Kim,2008,F
Mark Hasegawa-Johnson,2008,M
Adrienne L. Perlman,2008,F
Jon Gunderson,2008,M
Thomas S. Huang,2008,M
Kenneth L. Watkin,2008,M
Simone R. Frame,2008,F
Chul Hee Lee,2004,F
Serdar Yildirim,2004,M
Murtaza Bulut,2004,M
Abe Kazemzadeh,2004,M
Carlos Busso,2004,M
Zhigang Deng,2004,M
Sungbok Lee,2004,M
Shrikanth S. Narayanan,2004,M
Anuroop Sriram,2018,F
Heewoo Jun,2018,M
Sanjeev Satheesh,2018,M
Adam Coates,2018,M
Bo Li,2017,F
Tara N. Sainath,2017,F
Arun Narayanan,2017,M
J. Caroselli,2017,F
Michiel Bacchiani,2017,F
Ananya Misra,2017,F
Izhak Shafran,2017,M
Hasim Sak,2017,M
Golan Pundak,2017,M
K. K. Chin,2017,M
Khe Chai Sim,2017,M
Ron Weiss,2017,M
Kevin R. Wilson,2017,M
Ehsan Variani,2017,F
Chanwoo Kim,2017,M
Olivier Siohan,2017,M
Mitchel Weintraub,2017,M
Erik McDermott,2017,M
Richard Rose,2017,F
Matt Shannon,2017,M
Shigeki Karita,2019,F
Nelson Yalta,2019,F
Shinji Watanabe,2019,M
Marc Delcroix,2019,M
Atsunori Ogawa,2019,M
Tomohiro Nakatani,2019,M
John H. L. Hansen,1997,M
Sahar E. Bou-Ghazale,1997,F
Jason Li,2019,M
Vitaly Lavrukhin,2019,M
Boris Ginsburg,2019,M
Ryan J. Leary,2019,M
Oleksii Kuchaiev,2019,M
Jonathan D. Cohen,2019,M
Huyen Nguyen,2019,F
Ravi Teja Gadde,2019,F
Stefan Steidl,2011,M
Anton Batliner,2011,M
Florian Schiel,2011,M
Jarek Krajewski,2011,M
Björn Schuller,2016,M
Stefan Steidl,2016,M
Anton Batliner,2016,M
Julia Hirschberg,2016,M
Judee K. Burgoon,2016,F
Alice Baird,2016,M
Aaron C. Elkins,2016,M
Yue Zhang,2016,F
Eduardo Coutinho,2016,M
Keelan Evanini,2016,F
Szu-Wei Fu,2016,M
Yu Tsao,2016,M
Xugang Lu,2016,M
Yu-An Chung,2018,M
James Glass,2018,M
Jia-Lin Shen,1998,F
Jeih-weih Hung,1998,M
Lin-Shan Lee,1998,M
Thomas Kemp,1997,M
Thomas Schaaf,1997,M
Barbara J. Grosz,1992,F
Julia Hirschberg,1992,M
Takashi Fukuda,2017,M
Masayuki Suzuki,2017,F
Gakuto Kurata,2017,F
Samuel Thomas,2017,M
Jia Cui,2017,F
Bhuvana Ramabhadran,2017,M
Hasim Sak,2017,M
Matt Shannon,2017,M
Kanishka Rao,2017,M
Francoise Beaufays,2017,F
Thomas Drugman,2009,M
Thierry Dutoit,2009,M
Elizabeth Shriberg,2001,F
Andreas Stolcke,2001,M
Don Baron,2001,M
Sameer Maskey,2005,M
Julia Hirschberg,2005,M
Hossein Hadian,2018,M
Hossein Sameti,2018,M
Daniel Povey,2018,M
Sanjeev Khudanpur,2018,M
Loren Lugosch,2019,M
Mirco Ravanelli,2019,F
Patrick Ignoto,2019,M
Vikrant Singh Tomar,2019,M
Yoshua Bengio,2019,M
Maximilian Bisani,2005,F
Hermann Ney,2005,M
Björn Schuller,2012,M
Stefan Steidl,2012,M
Anton Batliner,2012,M
Elmar Nöth,2012,M
Alessandro Vinciarelli,2012,M
Felix Burkhardt,2012,M
Rob J.J.H. van Son,2012,M
Felix Weninger,2012,M
Florian Eyben,2012,M
Tobias Bocklet,2012,M
Gelareh Mohammadi,2012,M
Benjamin P. Weiss,2012,M
Jinyu Li,2014,F
Rui Zhao,2014,M
Jui-Ting Huang,2014,F
Yifan Gong,2014,M
Valery A. Petrushin,2000,F
Yi Hu,2006,M
Philipos C. Loizou,2006,M
Bo Li,2010,F
Khe Chai Sim,2010,M
Elliot Singer,2003,M
Pedro A. Torres-Carrasquillo,2003,M
Terry P. Gleason,2003,M
William B. Campbell,2003,M
Douglas A. Reynolds,2003,M
Li Deng,2014,M
John Platt,2014,M
Jaeyoung Kim,2017,M
Mostafa El-Khamy,2017,M
Jungwon Lee,2017,M
Ngoc-Quan Pham,2019,M
Thai-Son Nguyen,2019,F
Jan Niehues,2019,M
Markus Müller,2019,M
Alex Waibel,2019,M
Yusuke Fujita,2019,F
Naoyuki Kanda,2019,F
Shota Horiguchi,2019,M
Kenji Nagamatsu,2019,M
Shinji Watanabe,2019,M
Hynek Hermansky,2005,M
Petr Fousek,2005,M
James Glass,2007,M
Timothy J. Hazen,2007,M
Scott Cyphers,2007,M
Igor Malioutov,2007,M
David F. Huynh,2007,M
Regina Barzilay,2007,F
Keiichi Tokuda,1994,M
Takao Kobayashi,1994,M
Takashi Sato,1994,M
Satoshi Imai,1994,M
Alexander I. Rudnicky,1999,M
Eric H. Thayer,1999,M
Paul C. Constantinides,1999,M
Chris Tchou,1999,M
R. Shern,1999,M
