Name,Year,Gender
Jinlin Fu,2010,F
Chunping Hou,2010,M
Wei Xiang,2010,M
Lei Yan,2010,F
Yonghong Hou,2010,M
Mehdi Bennis,2010,M
Dusit Niyato,2010,M
Huining Hu,2004,M
Halim Yanikomeroglu,2004,F
David Falconer,2004,M
Shalini Periyalwar,2004,F
Xuehong Mao,2008,M
Amine Maaref,2008,M
Koon K. Teo,2008,M
Mario Gerla,2001,F
M. Y. Sanadidi,2001,F
Ren Wang,2001,M
Alberto Zanella,2001,F
Claudio Casetti,2001,M
Saverio Mascolo,2001,M
William Su,1999,M
Mario Gerla,1999,F
Jing Deng,2004,M
Ben Liang,2004,M
Pramod K. Varshney,2004,M
Niklas Goddemeier,2015,M
Christian Wietfeld,2015,M
Shengli Zhang,2008,M
Soung Chang Liew,2008,M
Lu Lu,2008,F
Cenk M. Yetis,2009,M
Tiangao Gou,2009,F
Syed A. Jafar,2009,M
Ahmet H. Kayran,2009,M
Xun Yu Zhou,2012,F
Rui Zhang,2012,M
Chin Keong Ho,2012,M
G. M. Woodruff,1988,M
R. G. H. Rogers,1988,M
P. S. Richards,1988,M
Dennis Pong,2003,M
Tim Moors,2003,M
I. Kassabalidis,2001,M
Mohamed A. El-Sharkawi,2001,M
Ronald Marks,2001,M
Payman Arabshahi,2001,M
Alastair Gray,2001,M
Toktam Mahmoodi,2008,F
Vasilis Friderikos,2008,M
Oliver Holland,2008,M
Hamid Aghvami,2008,M
Mika Ylianttila,2001,F
M. Pande,2001,M
Juha-Pekka Makela,2001,F
Petri Mahonen,2001,F
Lucas Fernando Müller,2014,M
Rodrigo Juliano Oliveira,2014,F
Marcelo Caggiani Luizelli,2014,F
Luciano Paschoal Gaspary,2014,M
Marinho P. Barcellos,2014,M
Ki-Dong Lee,2011,M
Sang Hoon Kim,2011,M
Byung K. Yi,2011,M
Chen Feng,2009,M
Shahrokh Valaee,2009,F
Zhenhui Tan,2009,M
Ying-Hao Yu,2016,F
Jun Zhang,2016,M
Khaled Ben Letaief,2016,M
Sibel Tombaz,2011,M
Paolo Monti,2011,M
Kun Wang,2011,M
Anders Vastberg,2011,M
Marco Forzati,2011,M
Jens Zander,2011,M
Guo-Mei Zhu,2008,F
Ian F. Akyildiz,2008,M
Geng-Sheng Kuo,2008,M
Engling Yeo,2001,M
Payam Pakzad,2001,M
Borivoje Nikolic,2001,M
Venkat Anantharam,2001,M
Ping Zhang,1996,M
R.T. Short,1996,M
X. R. Chen,1996,M
Joseph J. Boutros,2003,M
Nicolas Gresset,2003,M
Loic Brunel,2003,M
M. Fossorier,2003,M
Kemeng Yang,2007,M
Iqbal Gondal,2007,M
Bin Qiu,2007,M
Laurence S. Dooley,2007,M
David J. Love,2003,M
Robert W. Heath,2003,M
Chen-Nee Chuah,1998,F
Joseph M. Kahn,1998,M
David Tse,1998,M
Tao Jiang,2019,M
Yuanming Shi,2019,M
Xiaojun Cao,2002,M
Ji-kai Li,2002,F
Yang Chen,2002,M
Chunming Qiao,2002,M
Jan Tubbax,2003,M
A. Fort,2003,F
L. Van der Perre,2003,M
Stéphane Donnay,2003,F
Marc Engels,2003,M
Marc Moonen,2003,M
H. De Man,2003,M
George R. MacCartney,2017,M
Theodore S. Rappaport,2017,M
Sundeep Rangan,2017,M
Ashwini Ashok Bedekar,1999,M
Sem Borst,1999,M
Kavita Ramanan,1999,M
Paul H. Whiting,1999,M
