Name,Year
T. J. Lehman,1999
S. W. McLaughry,1999
P. Wyckoff,1999
Pieter M. Ribbers,2002
R.R. Peterson,2002
M.M. Parker,2002
M. McDaniel,2003
Mohammad Heydari,2003
Ping Zhang,1999
Ruth V. Small,1999
Gisela M. von Dran,1999
S. Barcellos,1999
Benjamin A. Carreras,2000
David E. Newman,2000
Ian Dobson,2000
A. B. Poole,2000
Joel West,2005
Siobhan O'Mahony,2005
Susan C. Herring,1999
Lakshmish Ramaswamy,2003
Ling Liu,2003
Sunanda Sangwan,2005
David G. Allen,2002
Timothy S. Kern,2002
M. Havenhand,2002
Naveen Srinivasan,2006
Massimo Paolucci,2006
Katia Sycara,2006
Amit Basu,2003
C. Walters,2003
M. R. Shepherd,2003
Peter W. Sauer,1997
Salvatore Parise,2008
Patricia J. Guinan,2008
Hongmei Chen,2008
Jason Dedrick,2004
Joel West,2004
Fernanda B. Viégas,2004
danah boyd,2004
Duong Nguyen,2004
Jeff Potter,2004
Judith Donath,2004
Akiyoshi Wakatani,2002
A.R. Dennis,1998
Joseph S. Valacich,1998
Cheri Speier,1998
Michael G. Morris,1998
Georg Disterer,2001
Robert P. Minch,2004
Dawn N. Jutla,2001
J. Craig,2001
Peter Bodorik,2001
Jon Gant,2002
D.B. Gant,2002
Minna Rollins,2005
Aino Halinen,2005
Gary D. Hachtel,1989
M. Lightner,1989
K. Bartlett,1989
D. Bostwick,1989
R. Jacoby,1989
P. Moceyunas,1989
C.R. Morrison,1989
X. Du,1989
Eric M. Schwarz,1989
Sara Gray,2013
Steven Gray,2013
Linda J. Cox,2013
Sarah Henly-Shepard,2013
Charith Perera,2014
Prem Prakash Jayaraman,2014
Arkady Zaslavsky,2014
Dimitrios Georgakopoulos,2014
Peter Christen,2014
W. Van Grembergen,2005
Steven J. J. Tedjamulia,2005
Douglas L. Dean,2005
David Olsen,2005
Conan Albrecht,2005
Judee K. Burgoon,2003
G.A. Stoner,2003
Joseph A. Bonito,2003
Norah E. Dunbar,2003
Manish Parashar,1996
James C. Browne,1996
Christer Carlsson,2005
Kaarina Hyvönen,2005
Petteri Repo,2005
Pirkko Walden,2005
Ho-Young Kim,2002
Jinwoo Kim,2002
Yeon Soo Lee,2002
Min-Hee Chae,2002
Young-Wan Choi,2002
Marinos Themistocleous,2001
Zahir Irani,2001
Robert M. O'Keefe,2001
Ram Chand Paul,2001
Jin Xu,2005
Yongqin Gao,2005
Scott Christley,2005
Gregory R. Madey,2005
Yogesh Malhotra,2003
Dennis Galleta,2003
Ian Dobson,2002
J. C. Chen,2002
James S. Thorp,2002
Benjamin A. Carreras,2002
David E. Newman,2002
Adrian Bueren,2004
Ragnar Schierholz,2004
Lutz M. Kolbe,2004
Walter Brenner,2004
Stuart J. Barnes,2001
Richard Vidgen,2001
Daniela Damian,2003
Didar Zowghi,2003
Marshall Scott Poole,1989
Gerardine DeSanctis,1989
Prabhakar H. Pathak,2000
Michael S. Gordon,2000
Weiguo Fan,2000
T. Hassan,2006
Samir Chatterjee,2006
Yan Qu,2009
Philip Fei Wu,2009
Xiaoqing Wang,2009
Kevin Crowston,1997
John C. Paolillo,2008
Tomi Dahlberg,2006
Hannu Kivijärvi,2006
S. Donald Greenberg,1992
Mary G. Roseman,1992
D.R. Webster,1992
Ralph Bohnet,1992
Helen S. Du,2005
Christian Wagner,2005
Patrick C. K. Hung,2004
Haifei Li,2004
Jun-Jang Jeng,2004
James D. McKeen,2006
Michael H. Zack,2006
S. K. Singh,2006
Mathieu Lemay,2008
R. Nelli,2008
Gerd Gross,2008
Carl A. Gunter,2008
William H. Money,2004
A. Turner,2004
W. Chung,2002
J. Paynter,2002
Tan Chee-Wee,2008
Izak Benbasat,2008
Ronald T. Cenfetelli,2008
Bjørn Furuholt,2008
Fathul Wahid,2008
Richard Arias-Hernandez,2011
Linda T. Kaastra,2011
Tera Marie Green,2011
Brian T. Fisher,2011
Hans Jochen Scholl,2001
M. R. Shepherd,1999
Carolyn Watters,1999
Richard G. Little,2003
Lange,1994
Maria Francesca Costabile,2005
M. De Marsico,2005
Rosa Lanzilotti,2005
Vito Leonardo Plantamura,2005
Teresa Roselli,2005
Thomas Schoberth,2003
Jennifer Preece,2003
Armin Heinzl,2003
Curtis Roe,2009
Evangelos Farantatos,2009
J. Meisel,2009
A. P. Sakis Meliopoulos,2009
Thomas J. Overbye,2009
Carlos E. M. Wagner,2007
Pattarawan Prasarnphanich,2007
Tero Päivärinta,2005
Bjørn Erik Munkvold,2005
Alistair Sutcliffe,2002
Bonnie Nardi,2007
Stephanie Ly,2007
Justin Harris,2007
Steven De Haes,2008
Wim Van Grembergen,2008
Mirja Pulkkinen,2006
Eric Gleave,2009
Howard T. Welser,2009
Thomas V. Lento,2009
Marc A. Smith,2009
Benoit A. Aubert,1999
Sylvie Dussault,1999
Michel Patry,1999
Suzanne Rivard,1999
Birgitta Bergvall-Kåreborn,2009
Marita Holst,2009
Anna Ståhlbröst,2009
I. Ioannidis,2003
Ananth Grama,2003
JoAnne Yates,1997
Wanda J. Orlikowski,1997
Julie Rennecker,1997
M. zur Muehlen,2000
Michael Rosemann,2000
Peter G. W. Keen,2006
Sajda Qureshi,2006
Marijn Janssen,2007
Kristian Hjort-Madsen,2007
Mauricio Featherman,2003
Mark A. Fuller,2003
Theresa A. Pardo,2002
Hans Jochen Scholl,2002
Elizabeth J. Davidson,2010
Emmanuelle Vaast,2010
D. Berndt,2003
John Fisher,2003
Larry Johnson,2003
J. Pinglikar,2003
A. Neal Watkins,2003
Nadine Schieritz,2003
A. GroBler,2003
M. Khalifa,2002
S. Cheng,2002
Dietz,1994
Athanasia Pouloudi,1999
Calvin K. Chan,2013
Jessica Vitak,2011
Nicole B. Ellison,2011
Charles Steinfield,2011
Carsten Block,2008
Dan A. Neumann,2008
Christof Weinhardt,2008
Curtis S. Ikehara,2005
Martha E. Crosby,2005
Ramayya Krishnan,2004
M. N. K. Smith,2004
Zhulei Tang,2004
Rahul Telang,2004
Benedikt Martens,2012
Marc Walterbusch,2012
Frank Teuteberg,2012
Wan-Shiou Yang,2006
Jia-Ben Dia,2006
Hung Cheng,2006
Hsing-Tzu Lin,2006
Moutaz Haddara,2011
Ondrej Zach,2011
Chientzu Candace Chou,2002
Sean Marston,2011
Zhi Li,2011
Subhajyoti Bandyopadhyay,2011
Anand Ghalsasi,2011
Davenport,1994
Linder,1994
Joan Morris DiMicco,2009
Werner Geyer,2009
David R. Millen,2009
Casey Dugan,2009
Beth Brownholtz,2009
N. Khan,2003
Wendy L. Currie,2003
Vishanth Weerakkody,2003
Bhavini Desai,2003
Thomas Morris,2012
Rayford B. Vaughn,2012
