Name,Year
Petros Ioannou,1993
Guangju Zhai,2000
Bing Hu,2000
Keishu Yasuda,2000
Anthony N. Michel,2000
Pierre E. Dupont,2000
Brian S. R. Armstrong,2000
Vincent Hayward,2000
Jovan Boskovic,1998
Ssu-Hsin Yu,1998
Raman K. Mehra,1998
J. Ryu,2004
J.C. Gerdes,2004
Kendall E. Nygard,2001
Phillip Chandler,2001
Meir Pachter,2001
Jessy W. Grizzle,2009
Jonathan W. Hurst,2009
Benjamin N. Morris,2009
Hae-Won Park,2009
Koushil Sreenath,2009
Satchi Venkataraman,1992
S. Gulati,1992
E. Johnson,2001
Anthony J. Calise,2001
Arthur Richards,2005
Jonathan P. How,2005
Sergey Edward Lyshevski,1998
Lee H. Keel,1997
Shankar P. Bhattacharyya,1997
Thomas Stanger,2013
Luigi del Re,2013
M. Alighanbari,2003
Yoshiaki Kuwata,2003
Jonathan P. How,2003
N. Gandhi,2002
Dawn M. Tilbury,2002
Yixin Diao,2002
Joseph M. Hellerstein,2002
Sujay Parekh,2002
Ioannis Kanellakopoulos,1991
Petar V. Kokotovic,1991
A.S. Morse,1991
Stefan Pettersson,1997
Bengt Lennartson,1997
Aaron D. Ames,2006
Haiyang Zheng,2006
Robert D. Gregg,2006
S. Shankar Sastry,2006
Paulo Tabuada,2001
George J. Pappas,2001
Pedro U. Lima,2001
Chunjiang Qian,2005
Haitham Hindi,1998
Babak Hassibi,1998
Stephen Boyd,1998
Xiefu Jiang,2005
Qing-Long Han,2005
Xinghuo Yu,2005
Derek Kingston,2006
Randal W. Beard,2006
Javad Ghaderi,2013
R. Srikant,2013
H. S. Chen,1997
Carsten W. Scherer,1997
Frank Allgöwer,1997
Susan Rebecca Cikanek,2002
Kevin Bailey,2002
Stephen Boyd,1993
Venkataramanan Balakrishnan,1993
Eric Feron,1993
Laurent ElGhaoui,1993
Randy A. Freeman,2006
Peng Yang,2006
Kristina A. Lynch,2006
Randal W. Beard,2000
Jonathan Lawton,2000
Fred Y. Hadaegh,2000
N.H.M. Linorman,2008
H.H.T. Liu,2008
Pablo Campo,1989
Manfred Morari,1989
Carl N. Nett,1989
Chee-Yee Chong,1986
Kuo-Chu Chang,1986
Shozo Mori,1986
Girish Chowdhary,2011
Eric Johnson,2011
Dimos V. Dimarogonas,2009
Karl Henrik Johansson,2009
M.C. De Gennaro,2006
Ali Jadbabaie,2006
Pablo O. Arambel,2001
Constantino Rago,2001
Raman K. Mehra,2001
Ardalan Vahidi,2004
Anna G. Stefanopoulou,2004
Huei Peng,2004
Mrdjan J. Jankovic,1998
Ilya Kolmanovsky,1998
Guilherme V. Raffo,2008
Marcos Ortega,2008
Francisco Rubio,2008
Michael S. Branicky,2003
Vincenzo Liberatore,2003
Sidney F. Phillips,2003
Peter Fogh Odgaard,2013
Kathryn Johnson,2013
Guisheng Zhai,2002
Bo Hu,2002
Keishu Yasuda,2002
Anthony N. Michel,2002
Ketan Savla,2005
Emilio Frazzoli,2005
Francesco Bullo,2005
Dong Jia,2002
Bruce H. Krogh,2002
William Singhose,1997
