Name,Year,Gender
Jamal-Deen Abdulai,2007,M
K. Srunitha,2016,F
S Padmavathi,2016,M
Prakirt Raj Jhunjhunwala,2018,M
Sharayu Moharir,2018,F
F.-Z. Kettaf,1996,M
Bi Dongsheng,1996,M
J.-P. Asselin de Beauville,1996,F
Fahimeh Ghobadi,2016,M
Mohsen Rohani,2016,M
Nafiz Al Asad,2019,M
Ana Pranto,2019,M
Sadia Afreen,2019,F
Md. Maynul Islam,2019,M
Tong Liu,2002,M
Zhengding Qiu,2002,M
Zhenlan Cheng,2002,M
Dirk Dahlhaus,2002,M
Chang Yao,2014,M
Feng Wu,2014,M
Houjin Chen,2014,F
Xiaoli Hao,2014,M
Yan Shen,2014,M
Suvadeep Bose,2007,M
S. Bharathimurugan,2007,M
Arputharaj Kannan,2007,M
Mansour M. Alghamdi,2007,M
Yahya Ould Mohamed El Hadj,2007,M
Mohamed Alkanhal,2007,M
Xiaoli Li,2010,F
Qiuqi Ruan,2010,M
Yue Ming,2010,M
Ramin Soltanzadeh,2010,M
Hossein Rabbani,2010,M
Liping Xue,2006,F
Jun-Xun Yin,2006,F
Zhen Ji,2006,M
Lai Jiang,2006,M
Zhenghua Yu,2000,M
Hao Wu,2000,M
Zhan Jie Wang,2006,M
Yifan He,2006,M
Minghu Jiang,2006,M
Debamita Kumar,2016,M
Ankita Pramanik,2016,F
Sudeshna Sil Kar,2016,F
Santi P. Maity,2016,F
Yifeng Xu,2017,M
Yang Zhang,2017,M
Huigang Wang,2017,M
Xing Liu,2017,F
Rahul Priyadarshi,2018,M
Prashant Singh,2018,M
Anurag K. Singh,2018,M
Ankush Thakur,2018,M
Rahul Singh,2016,M
Abhishek Chakraborty,2016,M
B. S. Manoj,2016,M
Sheng Chen,2002,M
Minfen Shen,2002,F
Xinjun Zhang,2002,M
Xianhui Li,2002,F
Jing-Qing Luo,2000,F
Zhiguo Zhang,2000,M
Mijit Ablimit,2010,M
Graham Neubig,2010,M
Masato Mimura,2010,F
Shinsuke Mori,2010,M
Tatsuya Kawahara,2010,F
Askar Hamdulla,2010,M
Tai-Yue Wang,2006,F
Hongwei Li,2006,F
Zhiming Li,2006,M
Zhihua Wang,2006,M
Yu You Li,2010,F
Hexin Chen,2010,F
Yan Zhao,2010,M
Hongjun Li,2011,M
He-Wen Wei,2010,F
Yungang Shi,2010,F
Yohan Lejosne,2012,M
Dirk Slock,2012,M
Yi Yuan-Wu,2012,M
Hemang Kumar Jayant,2015,M
K.P.S. Rana,2015,F
Vineet Kumar,2015,M
Sreejith S. Nair,2015,M
Puneet Mishra,2015,F
Zhi Chen,2007,M
Sina Ghaffari,2016,F
Saeed Sharifian,2016,M
Salomi S. Thomas,2016,F
Amar Saraswat,2016,M
Anurag Shashwat,2016,M
Vishal Bharti,2016,M
Bharat Bhushan,2017,M
Gadadhar Sahoo,2017,M
J. Talukdar,2018,M
Sanjeev Gupta,2018,M
Param S. Rajpura,2018,M
Ramanujan S. Hegde,2018,M
Tong Liu,2002,M
Zhengding Qiu,2002,M
Balakrishnan Senthilnayaki,2015,M
K. Venkatalakshmi,2015,M
Arputharaj Kannan,2015,M
Guojun Lu,1998,M
Templar Hankinson,1998,M
Omprakash Kaiwartya,2014,M
Sushil Kumar,2014,M
M. Mansoor,2013,M
S. N. Sravani,2013,F
Sumbul Zahra Naqvi,2013,F
I. Badshah,2013,M
Muhammad Saleem,2013,M
S. Poonguzhali,2007,F
B. Deepalakshmi,2007,F
G. Ravindran .,2007,M
Naresh P. Jawarkar,2007,M
Vasif Ahmed,2007,M
Rajesh Thakare,2007,M
Sebastijan Sprager,2010,M
Denis Donlagic,2010,M
Damjan Zazula,2010,F
Frederique Oggier,2010,M
Camilla Hollanti,2010,F
Roope Vehkalahti,2010,F
He Qiang,1998,M
Zhang Youwei,1998,M
Chen Junli,2000,F
Jiao Licheng,2000,M
Guangchun Wu,2006,M
Zhengding Qiu,2006,M
Wei Rao,2008,M
Kang-min Yuan,2008,F
Ye-Cai Guo,2008,M
Chao Yang,2008,M
Deepak Kumar,2012,M
A. G. Ramakrishnan,2012,M
Hedieh Sajedi,2008,F
Mansour Jamzad,2008,M
M. Herdin,2005,M
Yide Ma,2007,F
Dongmei Lin,2007,F
Beidou Zhang,2007,M
Qing Huo Liu,2007,M
