Name,Year,Gender
Felix Lehfuss,2011,M
Alexander Viehweider,2011,M
Thomas Strasser,2011,M
Vitor Monteiro,2012,M
João L. Pinto,2012,M
Bruno Exposto,2012,M
Henrique Goncalves,2012,M
João J. Ferreira,2012,F
Carlos Couto,2012,M
João L. Afonso,2012,M
K. Natori,2004,M
Tomoya Tsuji,2004,M
Kouhei Ohnishi,2004,M
Aleš Hace,2004,M
Karel Jezernik,2004,M
Humberto Pinheiro,2002,M
Fernando Botteron,2002,M
Cassiano Rech,2002,M
Luciano Schuch,2002,M
Robinson Figueiredo de Camargo,2002,M
Helio Leaes Hey,2002,M
Hilton Abilio Grundling,2002,M
Jose Renes Pinheiro,2002,M
Bogdan M. Wilamowski,2002,M
Xiangli Li,2002,F
Richard W. Wall,2003,M
Nobuyuki Kasa,1999,F
Takashi Iida,1999,F
Hideo Iwamoto,1999,M
Samir Kouro,2012,M
C. Fuentes,2012,M
M. Villaplana Perez,2012,F
Jorge Luis Rodriguez,2012,M
Takehiro Imura,2009,F
Hiroyuki Okabe,2009,M
Toshiyuki Uchida,2009,F
Yoichi Hori,2009,M
A. K. Tripathi,2001,F
Ashwin M. Khambadkone,2001,M
Sanjib Kumar Panda,2001,M
Steffen Rohner,2009,M
Steffen Bernet,2009,M
Marc Hiller,2009,M
Rainer Sommer,2009,M
J.M. Dixon,2002,M
Luis Moran,2002,M
R.E. Uhrig,1995,M
Jihoon Yang,2012,M
Jorge Portilla,2012,F
Teresa Riesgo,2012,F
Fredrik Blomstedt,2014,M
Luis Ferreira,2014,F
Markus Klisics,2014,M
Christos Chrysoulas,2014,M
Iker Martinez de Soria,2014,F
Brice Morin,2014,M
Anatolijs Zabasta,2014,M
Jens Eliasson,2014,M
Mats Johansson,2014,M
Pal Varga,2014,F
J.L.H. Silva,2005,F
Antonio J. Marques Cardoso,2005,M
J.M. Correa,2001,F
Felix A. Farret,2001,F
Luciane Neves Canha,2001,F
Armando Walter Colombo,2005,M
Francois Jammes,2005,M
H. Smit,2005,M
Roy M. Harrison,2005,M
Jose L. Martinez Lastra,2005,F
I.M. Delamer,2005,M
Aldo Boglietti,2008,M
Michele Pastorelli,2008,F
Alex Ruderman,2009,M
Boris Reznikov,2009,M
Javier María Iguíñiz Echeverría,2013,M
Samir Kouro,2013,M
Marcelo A. Perez,2013,F
Haitham Abu-Rub,2013,M
Ren C. Luo,1990,M
Maddie Mc Kay,1990,F
S.A. Gomez,2002,M
J.L.R. Amenedo,2002,M
Hani Vahedi,2013,F
Kamal Al-Haddad,2013,M
Youssef Ounejjar,2013,M
Khaled E. Addoweesh,2013,M
Ching-Tsai Pan,1999,M
Jeng-Yue Chen,1999,M
Chin-Peng Chu,1999,M
Yishuo Huang,1999,M
Chao Liu,2010,M
Aiguo Patrick Hu,2010,M
Mickel Bipin Budhia,2010,M
Stamatis Karnouskos,2010,M
Armando Walter Colombo,2010,M
Francois Jammes,2010,M
Jerker Delsing,2010,M
Thomas Bangemann,2010,M
Robin J. Schraft,1998,M
C. Schaeffer,1998,M
T. May,1998,F
Xiao-Qian Li,2013,F
Wenhua Liu,2013,F
Qiang Song,2013,F
Hong Rao,2013,M
Shukai Xu,2013,M
Abhijit Kulkarni,2013,M
Vinod John,2013,M
Nobuyuki Matsui,1993,M
Pit-Leong Wong,1998,M
Fred C. Lee,1998,M
Zhou Xunwei,1998,F
Jiabin Chen,1998,M
Jingquan Chen,2001,M
R. Erickson,2001,M
Dragan Maksimovic,2001,M
Sherif Matta,2010,F
Syed Masud Mahmud,2010,M
Perez-Pinal,2004,M
Ciro Nunez,2004,F
R. Alvarez,2004,M
Ilse Cervantes,2004,M
Ray-Lee Lin,2010,F
Shun-Fa Yang,2010,F
H. Douglas,2005,M
Pragasen Pillay,2005,F
Anton Dianov,2008,M
Kim， Young-Kwan,2008,M
Lee Sang-Joon,2008,M
Lee Sang-Taek,2008,M
J. Vassallo,2003,M
Jon Clare,2003,M
Patrick Wheeler,2003,M
Antonino Fratta,2004,M
G. Griffero,2004,M
Stefano Nieddu,2004,M
Tatsuya Kitano,2001,M
Masaaki Matsui,2001,M
Dehong Xu,2001,M
Hassan Lamsahel,2009,M
Peter Mutschler,2009,M
Ioan Szilagyi,2016,F
Patrice Wira,2016,F
Chwei-Sen Wang,2001,M
Grant A. Covic,2001,M
O.H. Stielau,2001,M
Low Wen Yao,2013,M
J. A. Aziz,2013,F
Pui Wah Kong,2013,M
Nik Rumzi Nik Idris,2013,M
Kouhei Ohnishi,1989,M
T. Murakami,1989,F
Gojko Joksimovic,1998,M
J. Penman,1998,M
Daniel Marino,2018,M
Chathurika S. Wickramasinghe,2018,M
Milos Manic,2018,M
Johanna L. Mathieu,2013,F
Marina Gonzalez Vaya,2013,F
Göran Andersson,2013,M
Daniel Gustavo Forchetti,2002,M
Guillaume Garcia,2002,M
Maria Ines Valla,2002,F
D. Floricau,2008,M
E. Floricau,2008,F
Guillaume Gateau,2008,M
J. Praveen,2004,M
B.P. Muni,2004,M
S. Venkateshwarlu,2004,M
H.V. Makthal,2004,M
Tao Sun,2003,F
Zhe Chen,2003,M
Frede Blaabjerg,2003,M
Salvador Ceballos,2011,M
Josep Pou,2011,M
Sanghun Choi,2011,M
Maryam Saeedifard,2011,F
Vassilios G. Agelidis,2011,M
M.R. Sahid,2010,M
Abdul Halim Mohamed Yatim,2010,M
Taufik Taufik,2010,M
Karim Abbaszadeh,2001,M
Jafar Milimonfared,2001,M
M. Haji,2001,M
Hamid A. Toliyat,2001,F
S. Takakura,1989,F
T. Murakami,1989,F
Kouhei Ohnishi,1989,M
David W. Pritty,1995,M
J.R. Malone,1995,M
D.N. Smeed,1995,M
S. Banerjee,1995,M
N.L. Lawrie,1995,F
A.B. Mogstad,2008,M
Marta Molinas,2008,F
Pål Keim Olsen,2008,M
Roy Nilsen,2008,M
A. S. Ito,2002,M
Yuji Aoki,2002,F
Shoji Hashimoto,2002,M
Francisco D. Freijedo,2009,M
Jesus Doval-Gandoy,2009,M
Oscar L. Lopez,2009,M
Carlos Martinez-Penalver,2009,M
Alejandro G. Yepes,2009,M
Pablo Fernandez-Comesana,2009,F
Jano Malvar,2009,M
A. Nogueiras,2009,F
Jorge Marcos Marcos,2009,M
A. Lago,2009,F
Chathurika S. Wickramasinghe,2018,M
Daniel Marino,2018,M
Kasun Amarasinghe,2018,M
Milos Manic,2018,M
Habiballah Rahimi-Eichi,2012,M
Mo-Yuen Chow,2012,M
Reza Ahmadi,2010,F
Darren Paschedag,2010,M
Mehdi Ferdowsi,2010,F
Y. Tachwali,2007,M
Hazem H. Refai,2007,M
J.E. Fagan,2007,M
Luis Valverde,2012,M
Carlos Bordons,2012,M
Felipe S. S. Rosa,2012,M
Mayda Velasco,2004,F
Josep M. Fuertes,2004,M
Chi Lin,2004,F
Pau Marti,2004,F
Stephanie Brandt,2004,F
Hani Vahedi,2014,F
Kamal Al-Haddad,2014,M
Hadi Y. Kanaan,2014,F
B. P. Singh,2003,M
S. Narasimha Murthy,2003,M
Sanjeev Gupta,2003,M
M.G. Lopez,2003,M
L.T. Moran,2003,M
J.C. Espinoza,2003,M
J.R. Dixon,2003,M
P. Viboonchaicheep,2003,M
Akira Shimada,2003,F
Yoshitane Kosaka,2003,M
Muhammad Shoaib Almas,2012,M
Rujiroj Leelaruji,2012,M
Luigi Vanfretti,2012,M
Johannes Kolb,2011,M
Felix Kammerer,2011,M
Michael J. Braun,2011,M
Hao Ma,2005,F
Linguo Wang,2005,M
Hiroaki Seki,2002,M
M. Iso,2002,M
Y. Hori,2002,M
Humberto Pinheiro,1994,M
A.S. Martins,1994,M
Jose Renes Pinheiro,1994,M
Martin Ganchev,2011,M
Christian Kral,2011,M
Helmut Oberguggenberger,2011,M
