Name,Year
Emile Sahouria,1998
Steven McCanne,1998
Randy H. Katz,1998
William Suski,2008
Michael A. Temple,2008
Michael J. Mendenhall,2008
Robert F. Mills,2008
Mike Ojo,2016
Davide Adami,2016
Stefano Giordano,2016
Ulf Gustavsson,2014
Cesar Sanchez-Perez,2014
Thomas Eriksson,2014
Fredrik Athley,2014
Giuseppe Durisi,2014
Per Landin,2014
Katharina Hausmair,2014
Christian Fager,2014
Lars Svensson,2014
Farooq Anjum,2003
M. Elaoud,2003
David Famolari,2003
A.K. Ghosh,2003
Ravichander Vaidyanathan,2003
Ashok Kumar Dutta,2003
P. C. Agrawal,2003
Takeshi Kodama,2003
Yasuhiro Katsube,2003
Wei-Ting Chang,2018
Ravi Tandon,2018
Jean Armstrong,1998
P. Ellen Grant,1998
G.J.R. Povey,1998
Sandrine Boumard,2003
Jayakrishnan Unnikrishnan,2007
Venugopal V. Veeravalli,2007
Moustafa Youssef,2010
Mohamed Amir Yosef,2010
Mohamed N. El-Derini,2010
Hou-Shin Chen,2007
Wen Gao,2007
David G. Daut,2007
Nihar B. Shah,2011
K. V. Rashmi,2011
P. Senthil Kumar,2011
R. Hsieh,2002
Aruna Seneviratne,2002
H. Soliman,2002
K. G. El-Malki,2002
Phongsak Prasithsangaree,2003
Prashant Krishnamurthy,2003
Kareem E. Baddour,2001
Norman C. Beaulieu,2001
Paul Petrus,1996
Jeffrey H. Reed,1996
Theodore S. Rappaport,1996
Ji-Ho Jang,2003
Kwang Y. Lee,2003
Yong-Hwan Lee,2003
Guru Thodime,2003
Vinod M. Vokkarane,2003
Jason P. Jue,2003
Yang Song,2007
Yuguang Fang,2007
Yanchao Zhang,2007
Jin Zhai,2019
Walid Saad,2019
Mehdi Bennis,2019
S. Baro,2000
G. Bauch,2000
A. Pavlic,2000
A. Semmler,2000
Hongfang Yu,2010
Chunming Qiao,2010
Vishal Anand,2010
Xin Liu,2010
Hao Di,2010
Gang Sun,2010
V. Jungnickel,2009
Lothar Thiele,2009
T. Wirth,2009
Thomas Haustein,2009
Stefan Schiffermüller,2009
Andreas Forck,2009
Sander Wahls,2009
Stephan Jaeckel,2009
S. Schubert,2009
H. Gabler,2009
Christoph Juchems,2009
F. Luhn,2009
R. Zavrtak,2009
Heinz Droste,2009
Gerhard Kadel,2009
Wolfgang S. Kreher,2009
James Mueller,2009
W. Stoermer,2009
G. Wannemacher,2009
A. Klemm,2001
Christoph Lindemann,2001
Marco Lohmann,2001
Balagangadhar G. Bathula,2009
Jaafar M. H. Elmirghani,2009
Rui Dinis,2004
David Falconer,2004
Chan F. Lam,2004
Maryam Sabbaghian,2004
Jae Nyoung Kim,2004
Qi Zhang,2004
Dharma P. Agrawal,2004
Sanjit K. Kaul,2011
Roy D. Yates,2011
Marco Gruteser,2011
Abolfazl Amiri,2018
Marko Angjelichinoski,2018
Elisabeth de Carvalho,2018
Robert W. Heath,2018
Abdelrahman Taha,2019
Muhammad Alrabeiah,2019
Ahmed Alkhateeb,2019
Athanasios S. Lioumpas,2011
Angeliki Alexiou,2011
David Lapsley,1999
Steven H. Low,1999
Kobra Hamdi,2007
Wei Zhang,2007
Khaled Ben Letaief,2007
Dirk Wubben,2010
Yi-dong Lang,2010
M. Perillo,2004
Zhao Cheng,2004
Wendi Heinzelman,2004
Husheng Li,2010
Weiyi Zhang,2010
Gary J. Sullivan,1991
R. Tom Baker,1991
Wenkai Wang,2009
Husheng Li,2009
Yan Sun,2009
Zhu Han,2009
Xiali Hei,2010
Xiaojiang Du,2010
Jie Wu,2010
Fei Hu,2010
Oltjon Kodheli,2017
Alessandro Guidotti,2017
Alessandro Vanelli-Coralli,2017
Hyundong Shin,2002
Jae Sung Lee,2002
Achilleas Anastasopoulos,2001
Marco Chiani,2002
Davide Dardari,2002
Sanjeewa P. Herath,2008
Nandana Rajatheva,2008
Daisuke Umehara,2004
H. Yamaguchi,2004
Yoshiteru Morihiro,2004
F. Schreckenbach,2003
Norbert Gortz,2003
Joachim Hagenauer,2003
Gerhard Bauch,2003
Ayman M. Mostafa,2014
Lutz Lampe,2014
Omar El Ayach,2013
Robert W. Heath,2013
Sridhar Rajagopal,2013
Zhouyue Pi,2013
Arya Behzad,2003
Izhak Rubin,2003
Giovanni Cherubini,1999
Evangelos Eleftheriou,1999
S. Olcer,1999
Wahab Khawaja,2016
Ismail Guvenc,2016
David W. Matolak,2016
Olakunle Ibitoye,2019
Omair Shafiq,2019
Ashraf Matrawy,2019
Slawomir Stanczak,2001
Holger Boche,2001
Martin Haardt,2001
Sarangi D. Dissanayake,2011
K. Panta,2011
Jean Armstrong,2011
Fengji Ye,2003
Su Yi,2003
Biplab Sikdar,2003
Bruno Clerckx,2008
Gil Won Kim,2008
Sungjin Kim,2008
Alex C. Snoeren,1999
M. Tuchler,2002
Mohammad Shikh-Bahaei,1999
Abdol Hamid Aghvami,1999
Sunil Suresh Kulkarni,2003
Carla Rosenberg,2003
C. N. Hoefer,2010
Georgios Karagiannis,2010
Kazuhide Higuchi,2004
H. Kawai,2004
Naoyuki Maeda,2004
Mamoru Sawahashi,2004
Peter K. Robertson,1999
Stefan Kaiser,1999
Murat Senel,2007
Krishna Chintalapudi,2007
Dhananjay Lal,2007
Abtin Keshavarzian,2007
Edward F. Coyle,2007
James C. Hu,1997
Irfan Pyarali,1997
Daniel Schmidt,1997
Shaoxuan Wang,2010
Sujit Dey,2010
Yi Zhang,2001
Derong Liu,2001
Michael Beck,2014
Juan Pablo Botero,2014
Chung-Wei Wang,2010
Li Wang,2010
Fumiyuki Adachi,2010
Yuanwei Liu,2014
Lifeng Wang,2014
Maged Elkashlan,2014
Trung Q. Duong,2014
Arumugam Nallanathan,2014
Zhu Han,2004
Ji Zhu,2004
K.J.R. Liu,2004
Kamarulazizi Ibrahim,2008
Michele C. Weigle,2008
Ching-Chuan Chiang,1998
Mario Gerla,1998
Lei Zhang,1998
Sudarshan Guruacharya,2010
Dusit Niyato,2010
Ekram Hossain,2010
Dong-Hyun Kim,2010
Michael P. Fitz,1991
Yuris Mulya Saputra,2019
Dinh Thai Hoang,2019
Diep N. Nguyen,2019
Eryk Dutkiewicz,2019
Markus Dominik Mueck,2019
Srikathyayani Srikanteswara,2019
Anagiyaddage D S Jayalath,2000
Chintha Tellambura,2000
Winnie Szeto,2003
Youssef Iraqi,2003
Raouf Boutaba,2003
Christos Komninakis,2003
Patrick Marsch,2009
Gerhard Fettweis,2009
Dominik Seethaler,2004
Gerald Matz,2004
Franz Hlawatsch,2004
Aytac Azgin,2005
Yucel Altunbasak,2005
Ghassan AlRegib,2005
D. K. Mitra,1999
K. G. Ramakrishnan,1999
Sithamparanathan Kandeepan,2010
Luca De Nardis,2010
Maria-Gabriella Di Benedetto,2010
Alessandro Guidotti,2010
Giovanni Emanuele Corazza,2010
Gerhard Münz,2002
Stephan Pfletschinger,2002
Joachim Speidel,2002
Hiroaki Komine,1990
Tatsuya Chujo,1990
Takao Ogura,1990
K. Miyazaki,1990
Tetsuo Soejima,1990
Valerio Bioglio,2014
Frederic Gabry,2014
Ingmar Land,2014
Alireza Bayesteh,2015
Hosein Nikopour,2015
Mahmoud Taherzadeh,2015
Hadi Baligh,2015
Jianglei Ma,2015
Oshri Naparstek,2017
Kobi Cohen,2017
Meir Herzberg,1994
S.J. Bye,1994
Xin Li,2000
H. Z. Huang,2000
Angel Lozano,2000
Gerard J. Foschini,2000
Aiguo Fei,2001
Jun-Hong Cui,2001
Mario Gerla,2001
Michalis Faloutsos,2001
Siamak Azodolmolky,2013
Reza Nejabati,2013
Maryam Pazouki,2013
Philipp Wieder,2013
Ramin Yahyapour,2013
Dimitra Simeonidou,2013
Gilberto Berardinelli,2013
Fernando Tavares,2013
Troels B. Sorensen,2013
Preben Mogensen,2013
Kari Pajukoski,2013
Simon Morgenthaler,2012
Torsten Braun,2012
Zhongliang Zhao,2012
Thomas Staub,2012
Markus Anwander,2012
Stefan Mangold,2004
Zhun Zhong,2004
Kiran Challapali,2004
Chun-Ting Chou,2004
Ahmed Ibrahim,2006
Ahmed Kamel Sadek,2006
Weifeng Su,2006
K.J.R. Liu,2006
Eric Monteiro,2012
Steve Hranilovic,2012
Bo Xiao,2008
Yongfeng Huang,2008
Shanyu Tang,2008
Magnus Sandell,1998
Carlo Luschi,1998
Paul Strauch,1998
Renbin Yan,1998
Zhi Quan,2007
Shuguang Cui,2007
Ali H. Sayed,2007
Daniel E. Lucani,2009
Muriel Medard,2009
Milica Stojanovic,2009
Raheem Beyah,2004
S. Kangude,2004
G. Yu,2004
Ben A. Strickland,2004
John A. Copeland,2004
Hiroyuki Hamazumi,2000
Koreyoshi Imamura,2000
Naohiko Iai,2000
Keiko Shibuya,2000
Misao Sasaki,2000
Nai-Wei Lo,2007
Hsiao-Chien Tsai,2007
Rapeepat Ratasuk,2014
Nitin Mangalvedhe,2014
Amitava Ghosh,2014
Alex Martinez,2014
Elisabeth de Carvalho,2014
Jesper Bo Nielsen,2014
Sridhar Rajagopal,2011
Shadi Abu-Surra,2011
Zhouyue Pi,2011
Farooq Ahmad Khan,2011
Cheng Chen,2013
Dobroslav Tsonev,2013
Harald Haas,2013
Stefan Kaiser,1997
Joachim Hagenauer,1997
Chi-Fu Huang,2004
Yu-Chee Tseng,2004
Li-Chu Lo,2004
J.P.F. Glas,1998
Saman Atapattu,2009
Chintha Tellambura,2009
Hai Jiang,2009
Taesang Yoo,2004
Eunchul Yoon,2004
Andrea Goldsmith,2004
Toshiaki Koike-Akino,2008
Petar Popovski,2008
Vahid Tarokh,2008
Hyunwoo Nam,2014
Kyoung Hwa Kim,2014
Jong Min Kim,2014
Henning Schulzrinne,2014
David Taylor,2012
Harpreet S. Dhillon,2012
Thomas David Novlan,2012
Jeffrey G. Andrews,2012
Ying Gan,2005
Wai Ho Mow,2005
Nevil Brownlee,2001
kc claffy,2001
Evi Nemeth,2001
Martin Heinz Roth,2003
Stephen B. Wicker,2003
Jun-Zhao Sun,2001
Jaakko Sauvola,2001
Douglas Howie,2001
Ramesh Pyndiah,1995
Annie Picart,1995
A. Glavieux,1995
S.C. Thompson,2005
John G. Proakis,2005
James R. Zeidler,2005
L. Rong,2008
O. Ben Haddada,2008
Salah Eddine Elayoubi,2008
Zhiying Wang,2010
Alexandros G. Dimakis,2010
Jehoshua Bruck,2010
Zhengxin Yu,2018
Jia Hu,2018
Geyong Min,2018
Haochuan Lu,2018
Zhiwei Zhao,2018
Han Wang,2018
Nektarios Georgalas,2018
