Name,Year,Gender
Paolo Paolini,2001,F
Julien Cartigny,2003,F
David Simplot,2003,M
Manuel Wimmer,2007,M
Michael Strommer,2007,M
Horst Kargl,2007,M
Gerhard Kramler,2007,M
Martin J. Eppler,2001,M
Rayford B. Vaughn,2003,M
R. Henning,2003,M
Ambareen Siraj,2003,F
Marko M. Skoric,2012,M
Nathaniel Poor,2012,M
Palakorn Achananuparp,2012,M
Ee-Peng Lim,2012,M
Jing Jiang,2012,M
Fernanda B. Viégas,2004,F
Marc A. Smith,2004,M
Per E. Pedersen,2002,M
Leif B. Methlie,2002,F
Helge Thorbjørnsen,2002,M
Leona Chandra,2015,F
Stefan Seidel,2015,M
Shirley Gregor,2015,M
Miroslav M. Begovic,2001,M
A. Pregelj,2001,M
Ajeet Rohatgi,2001,M
Damir Novosel,2001,M
Tony Bergstrom,2007,M
Karrie Karahalios,2007,F
Eric W. Welch,2003,M
Charles C. Hinnant,2003,M
Johanna L. Mathieu,2012,F
Duncan S. Callaway,2012,M
Robert C. Holte,1989,M
A. Mok,1989,F
Louis E. Rosier,1989,M
Igor Tulchinsky,1989,M
D. A. Varvel,1989,M
Kristian Hjort-Madsen,2006,M
Qizhi Dai,2001,F
Robert L. Kauffman,2001,M
Peter Schubert,1999,M
Dorian Selz,1999,M
Dirk Ourston,2003,M
S. Matzner,2003,M
W. Stump,2003,M
Bryan Hopkins,2003,M
Brian Hay,2011,M
Kara Nance,2011,F
Matt Bishop,2011,M
T. J. Lehman,1999,M
S. W. McLaughry,1999,M
P. Wyckoff,1999,M
Pieter M. Ribbers,2002,M
R.R. Peterson,2002,M
M.M. Parker,2002,M
M. McDaniel,2003,M
Mohammad Heydari,2003,M
Ping Zhang,1999,M
Ruth V. Small,1999,M
Gisela M. von Dran,1999,F
S. Barcellos,1999,M
Benjamin A. Carreras,2000,M
David E. Newman,2000,M
Ian Dobson,2000,M
A. B. Poole,2000,F
Joel West,2005,M
Siobhan O'Mahony,2005,F
Susan C. Herring,1999,F
Lakshmish Ramaswamy,2003,M
Ling Liu,2003,M
Sunanda Sangwan,2005,F
David G. Allen,2002,M
Timothy S. Kern,2002,M
M. Havenhand,2002,M
Naveen Srinivasan,2006,M
Massimo Paolucci,2006,F
Katia Sycara,2006,F
Amit Basu,2003,M
C. Walters,2003,M
M. R. Shepherd,2003,M
Peter W. Sauer,1997,M
Salvatore Parise,2008,F
Patricia J. Guinan,2008,F
Hongmei Chen,2008,F
Jason Dedrick,2004,M
Joel West,2004,M
