Name,Year,Gender
Raman K. Mehra,1998,F
J. Ryu,2004,M
J.C. Gerdes,2004,M
Kendall E. Nygard,2001,M
Phillip Chandler,2001,M
Meir Pachter,2001,F
Jessy W. Grizzle,2009,F
Jonathan W. Hurst,2009,M
Benjamin N. Morris,2009,M
Hae-Won Park,2009,M
Koushil Sreenath,2009,M
Satchi Venkataraman,1992,M
S. Gulati,1992,F
E. Johnson,2001,M
Anthony J. Calise,2001,M
Arthur Richards,2005,M
Jonathan P. How,2005,M
Sergey Edward Lyshevski,1998,M
Lee H. Keel,1997,M
Shankar P. Bhattacharyya,1997,F
Thomas Stanger,2013,M
Luigi del Re,2013,M
M. Alighanbari,2003,M
Yoshiaki Kuwata,2003,M
Jonathan P. How,2003,M
N. Gandhi,2002,M
Dawn M. Tilbury,2002,M
Yixin Diao,2002,F
Joseph M. Hellerstein,2002,F
Sujay Parekh,2002,M
Ioannis Kanellakopoulos,1991,F
Petar V. Kokotovic,1991,M
A.S. Morse,1991,F
Stefan Pettersson,1997,M
Bengt Lennartson,1997,M
Aaron D. Ames,2006,M
Haiyang Zheng,2006,M
Robert D. Gregg,2006,M
S. Shankar Sastry,2006,M
Paulo Tabuada,2001,F
George J. Pappas,2001,M
Pedro U. Lima,2001,F
Chunjiang Qian,2005,M
Haitham Hindi,1998,F
Babak Hassibi,1998,M
Stephen Boyd,1998,M
Xiefu Jiang,2005,M
Qing-Long Han,2005,M
Xinghuo Yu,2005,M
Derek Kingston,2006,M
Randal W. Beard,2006,M
Javad Ghaderi,2013,M
R. Srikant,2013,M
H. S. Chen,1997,M
Carsten W. Scherer,1997,M
Frank Allgöwer,1997,M
Susan Rebecca Cikanek,2002,F
Kevin Bailey,2002,M
Stephen Boyd,1993,M
Venkataramanan Balakrishnan,1993,M
Eric Feron,1993,M
Laurent ElGhaoui,1993,M
Randy A. Freeman,2006,F
Peng Yang,2006,M
Kristina A. Lynch,2006,F
Randal W. Beard,2000,M
Jonathan Lawton,2000,M
Fred Y. Hadaegh,2000,M
N.H.M. Linorman,2008,M
H.H.T. Liu,2008,M
Pablo Campo,1989,M
Manfred Morari,1989,M
Carl N. Nett,1989,M
Chee-Yee Chong,1986,F
Kuo-Chu Chang,1986,M
Shozo Mori,1986,M
Girish Chowdhary,2011,M
Eric Johnson,2011,M
Dimos V. Dimarogonas,2009,M
Karl Henrik Johansson,2009,M
M.C. De Gennaro,2006,M
Ali Jadbabaie,2006,F
Pablo O. Arambel,2001,M
Constantino Rago,2001,M
Raman K. Mehra,2001,F
Ardalan Vahidi,2004,M
Anna G. Stefanopoulou,2004,F
Huei Peng,2004,M
Mrdjan J. Jankovic,1998,M
Ilya Kolmanovsky,1998,M
Guilherme V. Raffo,2008,M
Marcos Ortega,2008,M
Francisco Rubio,2008,M
Michael S. Branicky,2003,M
Vincenzo Liberatore,2003,M
Sidney F. Phillips,2003,M
Peter Fogh Odgaard,2013,M
Kathryn Johnson,2013,F
Guisheng Zhai,2002,M
Bo Hu,2002,M
Keishu Yasuda,2002,F
Anthony N. Michel,2002,M
Ketan Savla,2005,F
Emilio Frazzoli,2005,M
Francesco Bullo,2005,M
Dong Jia,2002,M
Bruce H. Krogh,2002,M
William Singhose,1997,M
L. J. Porter,1997,M
Warren P. Seering,1997,M
D. H. McMahon,1990,M
J. Karl Hedrick,1990,M
Steven E Shladover,1990,M
Fred R. Hansen,1989,M
Gene F. Franklin,1989,M
Robert L. Kosut,1989,M
Makoto Yokoyama,2001,F
J.K. Hedrick,2001,M
S. Toyama,2001,F
Wie,1991,F
Bernstein,1991,M
Richard D. Braatz,1993,M
Peter C. Young,1993,M
John Doyle,1993,M
Manfred Morari,1993,M
Carl Kempf,1992,M
William C. Messner,1992,M
Masayoshi Tomizuka,1992,F
Roberto Horowitz,1992,M
Steven X. Ding,2001,M
Zhong Mai-ying,2001,F
