Name,Year
Mihailo R. Jovanovic,2014
Zhi-Quan Luo,2014
Anthony M. Bloch,1997
Naomi Ehrich Leonard,1997
Jerrold E. Marsden,1997
Karl-Erik Årzén,2000
Anton Cervin,2000
Johan Eker,2000
Lui Sha,2000
Sean P. Meyn,2009
Amit Surana,2009
Yiqing Lin,2009
Stella Maris Oggianu,2009
Satish Narayanan,2009
Thomas A. Frewen,2009
Bernd Tibken,2000
Bo Lincoln,2002
Anton Cervin,2002
Ian R. Petersen,2001
Andrey V. Savkin,2001
Howard Wong-Toi,1997
Eduardo D. Sontag,1980
Héctor J. Sussmann,1980
Karl Johan Åström,1980
Per Hagander,1980
Jan Sternby,1980
Shao-Po Wu,1996
Stephen Boyd,1996
Lieven Vandenberghe,1996
Andras Varga,1991
Martin Andersson,2005
Dan Henriksson,2005
Anton Cervin,2005
Karl-Erik Årzén,2005
Leandros Tassiulas,1990
Anthony Ephremides,1990
Tansu Alpcan,2002
Tamer Basar,2002
Alan S. Willsky,1974
Harold Jones,1974
Alekh Agarwal,2012
John C. Duchi,2012
J-P. Barbot,1996
Taha Boukhobza,1996
Mohamed Djemai,1996
T. Inoue,1990
Takeo Kanade,2004
Omead Amidi,2004
Qifa Ke,2004
Derya Aksaray,2016
Austin Jones,2016
Zhaodan Kong,2016
Mac Schwager,2016
Calin Belta,2016
Didier Henrion,2005
Johan Löfberg,2005
Michal Kočvara,2005
Michael Stingl,2005
L. El Ghaoui,1994
Venkataramanan Balakrishnan,1994
Matthew Flint,2002
Marios M. Polycarpou,2002
E. Fernandez-Gaucherand,2002
B. Ross Barmish,1988
Mardavij Roozbehani,2010
Munther A. Dahleh,2010
Sanjoy K. Mitter,2010
Anders Stenman,1996
Finn Gustafsson,1996
Lennart Ljung,1996
Eric W. Justh,2005
Perinkulam S. Krishnaprasad,2005
Piyush Gupta,1997
P. Senthil Kumar,1997
Robin M. Murray,1991
S. Shankar Sastry,1991
Hongyi Li,2006
Katsuhisa Furuta,2006
F.L. Chernousko,2006
Michael Rotkowitz,2002
Sanjay Lall,2002
Minsong Cao,2005
Daniel A. Spielman,2005
A.S. Morse,2005
Usman A. Khan,2010
Soummya Kar,2010
Ali Jadbabaie,2010
Jose M. F. Moura,2010
Graeme Stewart,2008
Francesco Borrelli,2008
Riccardo Marino,1990
Sergei Peresada,1990
Paolo Valigi,1990
Mustapha Ait Rami,2006
Fernando Tadeo,2006
Pontus Giselsson,2010
Anders Rantzer,2010
Milos Zefran,2001
Francesco Bullo,2001
M. Stein,2001
B. de Jager,1995
Tarek Abdelzaher,2000
Chenyang Lu,2000
Philip D. Parker,1987
Robert R. Bitmead,1987
Yun Huang,1996
Wei-Min Lu,1996
Antonis Papachristodoulou,2005
Ali Jadbabaie,2005
A. Kurita,1988
T. Sakurai,1988
B. Van Roy,1997
Dimitri P. Bertsekas,1997
Y. Lee,1997
John N. Tsitsiklis,1997
Qiang Ling,2002
Michael D. Lemmon,2002
Reza Olfati-Saber,2002
Richard M. Murray,2002
John Doyle,1978
Ermin Wei,2010
Asuman Ozdaglar,2010
Ali Jadbabaie,2010
Sekhar Tatikonda,1998
Amit Sahai,1998
Sanjoy K. Mitter,1998
Jason L. Speyer,1992
Cody Fan,1992
Ravi N. Banavar,1992
R.M. Sanner,1991
Jean-Jacques E. Slotine,1991
Shicong Dai,2014
Taeyoung Lee,2014
Dennis S. Bernstein,2014
Zhipu Jin,2006
Richard M. Murray,2006
Albert Y. S. Lam,2012
Baosen Zhang,2012
David Tse,2012
John-Morten Godhavn,1996
Tolga Eren,2002
Peter N. Belhumeur,2002
A.S. Morse,2002
Ioannis Kanellakopoulos,1991
Petar V. Kokotovic,1991
A.S. Morse,1991
F. Pasqualetti,2007
Antonio Bicchi,2007
Francesco Bullo,2007
Christopher Amato,2013
Girish Chowdhary,2013
Alborz Geramifard,2013
N. Kemal Ure,2013
Mykel J. Kochenderfer,2013
Alberto Isidori,1986
Claude H. Moog,1986
Alessandro De Luca,1986
C. Carbone,2006
U. Ciniglio,2006
Federico Corraro,2006
Salvatore Luongo,2006
Ian Dobson,1988
H. C. Chiang,1988
James S. Thorp,1988
L. Fekih-Ahmed,1988
John Baillieul,2002
Amir Ali Ahmadi,2008
Pablo A. Parrilo,2008
Maben Rabi,2008
K. E. Johansson,2008
Mikael Johansson,2008
Somil Bansal,2016
Anayo K. Akametalu,2016
Frank Jiang,2016
Forrest Laine,2016
Claire J. Tomlin,2016
Tansu Alpcan,2001
Tamer Basar,2001
R. Srikant,2001
Erik R. Altman,2001
Lawrence I. Larkin,1984
Salvatore Monaco,1992
Dorothée Normand-Cyrot,1992
Maria M. Seron,2000
J.A. De Dona,2000
Guy M. Goodwin,2000
Saifon Chaturantabut,2009
Danny C. Sorensen,2009
Kim P. Wabersich,2018
Melanie N. Zeilinger,2018
D. de Roover,1996
Alina Eqtami,2011
Dimos V. Dimarogonas,2011
Kostas J. Kyriakopoulos,2011
Kevin R. Moore,2006
YangQuan Chen,2006
Hyo-Sung Ahn,2006
Dragan Nesic,2010
Y. H. Tan,2010
William H. Moase,2010
Chris Manzie,2010
Silvere Bonnabel,2007
Yonggang Xu,2005
Joao P. Hespanha,2005
Chi-Haur Wu,1980
Richard J. Paul,1980
Dimos V. Dimarogonas,2006
Magnus Egerstedt,2006
Kostas J. Kyriakopoulos,2006
Roberto Tron,2009
René Vidal,2009
Prashant G. Mehta,2009
Sean P. Meyn,2009
Tor Arne Johansen,2002
B. Walcott,1986
S.H. Zak,1986
Tobias Geyer,2009
Eduardo D. Sontag,1995
Héctor J. Sussmann,1995
Xiang Ma,2006
David A. Castanon,2006
Carsten W. Scherer,1997
Anthony J. Ryan,2005
J. Karl Hedrick,2005
Lars B. Cremean,2002
William B. Dunbar,2002
Dirk van Gogh,2002
John M. Hickey,2002
Eric Klavins,2002
J Meltzer,2002
Robin M. Murray,2002
Evangelos A. Theodorou,2012
Emanuel Todorov,2012
Dorsa Sadigh,2014
Eric H. Kim,2014
Samuel Coogan,2014
S. Shankar Sastry,2014
Sanjit A. Seshia,2014
Pavankumar Tallapragada,2012
Nikhil Chopra,2012
M.C.F. Donkers,2010
Wpmh Maurice Heemels,2010
Luis A. Montestruque,2002
Panos J. Antsaklis,2002
Randy A. Freeman,1996
J.A. Primbs,1996
Johannes Schiffer,2013
Darina Goldin,2013
Jörg Raisch,2013
Tevfik Sezi,2013
Arie Levant,2013
Christophe Combastel,2005
Brett M. Morris,2005
Jessy W. Grizzle,2005
Dimitrios Hristu-Varsakelis,2001
A. Kwiatkowski,2006
