Name,Year,Gender
Keat-Choon Goh,1994,M
Michael G. Safonov,1994,M
George P. Papavassilopoulos,1994,M
Do-Jun Shim,2003,M
Hyun-Chul Kim,2003,M
S. Shankar Sastry,2003,M
Bin Yao,1997,M
John Baillieul,1984,M
John M. Hollerbach,1984,M
Roger W. Brockett,1984,M
Suguru Arimoto,1985,M
Seiji Kawamura,1985,F
Fumio Miyazaki,1985,M
S. Tamaki,1985,M
Songhwai Oh,2004,M
Stuart Russell,2004,M
S. Shankar Sastry,2004,M
Héctor J. Sussmann,1991,M
Wensheng Liu,1991,M
Lingwen Gan,2011,M
Ufuk Topcu,2011,M
Steven H. Low,2011,M
Frauke Oldewurtel,2010,M
Andreas Ulbig,2010,M
Alessandra Parisio,2010,F
Göran Andersson,2010,M
Manfred Morari,2010,M
Roger W. Brockett,1995,M
D. Soetanto,2003,M
Lionel Lapierre,2003,M
Antonio M. Pascoal,2003,M
L. M. Sweet,1984,F
Malcolm Good,1984,M
Prabir Barooah,2006,M
Joao P. Hespanha,2006,F
Paolo Falcone,2007,M
M. Tufo,2007,M
Francesco Borrelli,2007,M
J. Asgari,2007,M
H. Eric Tseng,2007,M
Andrew Packard,1991,M
Kang Zhou,1991,M
Prem C. Pandey,1991,M
Gerd Becker,1991,M
Andrew R. Teel,1992,M
Robin M. Murray,1992,M
G. Walsh,1992,M
Vassilis L. Syrmos,1994,M
Chaouki T. Abdallah,1994,M
Peter Dorato,1994,M
Xiaobo Tan,2002,M
John S. Baras,2002,M
Alex Olshevsky,2006,M
John N. Tsitsiklis,2006,M
Christelle Pittet,1997,F
Sophie Tarbouriech,1997,F
C. Burgat,1997,M
Saverio Bolognani,2013,M
Nicoletta Bof,2013,F
Davide Michelotti,2013,F
Riccardo Muraro,2013,M
Luca Schenato,2013,M
Yongcan Cao,2009,M
Wei Ren,2009,M
Quanyan Zhu,2011,M
Tamer Basar,2011,M
E. Borhaug,2008,M
Alexey N. Pavlov,2008,M
Kristin Y. Pettersen,2008,F
He Bai,2010,M
Randy A. Freeman,2010,F
Kevin G. Lynch,2010,M
K. Mani Chandy,2010,M
Steven H. Low,2010,M
Ufuk Topcu,2010,M
Huan Xu,2010,M
Christopher I. Byrnes,1984,M
Jan C. Willems,1984,M
X. F. Wang,2008,M
Michael D. Lemmon,2008,M
Frauke Oldewurtel,2008,M
C. R. Jones,2008,M
Manfred Morari,2008,M
Alberto Bemporad,1998,M
Ron J. Patton,1991,M
J. C. Chen,1991,M
Guy Bornard,1991,M
Hassan Hammouri,1991,M
Basilio Bona,2005,M
Marina Indri,2005,F
Aryan Mokhtari,2016,M
Shahin Shahrampour,2016,M
Ali Jadbabaie,2016,F
Alejandro Ribeiro,2016,M
Z. Jarvis-Wloszek,2003,M
Ryan Feeley,2003,M
Weehong Tan,2003,M
Kunpeng Sun,2003,M
Andrew Packard,2003,M
Oliver Nelles,1996,F
Rolf Isermann,1996,M
Kristin Y. Pettersen,1996,F
Olav Egeland,1996,M
Aditya Mahajan,2012,M
Nuno Martins,2012,M
Michael Rotkowitz,2012,M
Serdar Yüksel,2012,M
Ernesto Kofman,2006,M
Julio H. Braslavsky,2006,M
Stacy Patterson,2010,M
Bassam Bamieh,2010,M
Shinji Hara,1985,F
Tohru Omata,1985,M
Michio Nakano,1985,M
Jorge E. Cortes,2016,M
Geir E. Dullerud,2016,M
Shuo Han,2016,M
Jerome Le Ny,2016,M
Sayan Mitra,2016,F
George J. Pappas,2016,M
R.O. Saber,2003,M
Robin M. Murray,2003,M
Carlos Canudas de Wit,1999,M
Panagiotis Tsiotras,1999,M
Christopher I. Byrnes,1984,M
Alberto Isidori,1984,M
Roger Skjetne,2002,F
S. Moi,2002,M
Thor I. Fossen,2002,M
Morten Breivik,2005,M
Thor I. Fossen,2005,M
Alberto Bemporad,2006,M
Todd A. Ell,1993,M
Kiminao Kogiso,2015,M
Takahiro Fujita,2015,M
Peter J. Ramadge,1986,M
Ola Härkegård,2002,M
Robin M. Murray,1990,M
S. Shankar Sastry,1990,M
