Name,Year
Clifton Forlines,2007
Daniel Wigdor,2007
Chia Shen,2007
Ravin Balakrishnan,2007
Gazihan Alankus,2010
Amanda Lazar,2010
Matthew May,2010
Caitlin Kelleher,2010
Anthony Santella,2006
Maneesh Agrawala,2006
Doug DeCarlo,2006
David Salesin,2006
Michael B. Cohen,2006
Stuart K. Card,1996
George S. Robertson,1996
William S. York,1996
Simon Fothergill,2012
Helena M. Mentis,2012
Pushmeet Kohli,2012
Sebastian Nowozin,2012
R. William Soukoreff,2003
I. Z. Mackenzie,2003
Beverly L. Harrison,1998
Kenneth P. Fishkin,1998
Anuj Gujar,1998
Carlos Mochon,1998
Roy Want,1998
Jürgen Koenemann,1996
Nicholas J. Belkin,1996
Thomas Erickson,1999
David Smith,1999
Wendy A. Kellogg,1999
Mark R. Laff,1999
John R. Richards,1999
Erin Bradner,1999
Neil S. Patel,2010
Deepti Chittamuru,2010
Anupam Jain,2010
Paresh Dave,2010
Tapan S. Parikh,2010
Danding Wang,2019
Qian Yang,2019
Ashraf Abdul,2019
Brian Y. Lim,2019
Patrick Baudisch,2003
Ruth Rosenholtz,2003
Bill N. Schilit,1998
Gene Golovchinsky,1998
Morgan N. Price,1998
Theresa Jean Tanenbaum,2013
Amanda C de C Williams,2013
Audrey Desjardins,2013
Karen Tanenbaum,2013
Chia Shen,2004
Frédéric Vernier,2004
Clifton Forlines,2004
Meredith Ringel,2004
Thomas Fritz,2014
Elaine M. Huang,2014
Gail C. Murphy,2014
Thomas Zimmermann,2014
I. Scott MacKenzie,1993
Colin Ware,1993
Victoria Bellotti,2002
Maribeth Back,2002
W. Keith Edwards,2002
Rebecca E. Grinter,2002
Austin Henderson,2002
Cristina Lopes,2002
Elin Rønby Pedersen,1993
Kim McCall,1993
Thomas M. Moran,1993
Frank G. Halasz,1993
Kouichi Murakami,1991
Hitomi Taguchi,1991
William Gaver,1991
Randall K. Smith,1991
Tim O'Shea,1991
Jonathan Grudin,2001
Lena Mamykina,2008
Elizabeth D. Mynatt,2008
Patricia M. Davidson,2008
Daniel Greenblatt,2008
David B. Abrams,1998
Ronald M. Baecker,1998
Mark Chignell,1998
Matthew W. Kay,2015
Cynthia Matuszek,2015
Sean A. Munson,2015
David R. Millen,2006
Jonathan Feinberg,2006
Bernard J. Kerr,2006
Kristen Shinohara,2011
Jacob O. Wobbrock,2011
Timothy Sohn,2008
